question,answer
Beth Kara worked as a Senior Reporter on the case of which man who was convicted for the crime of murdering his wife and unborn son?,"Rick Distaso; Joseph Richard (Rick) Distaso was the Stanislaus County, California senior deputy district attorney who served as the lead prosecutor in the case against Scott Peterson, charged with and later convicted of murdering his wife Laci Peterson and their unborn child Conner Peterson in 2002."
The village where Air Kilroe Limited's head office is located is part of which parish?,"Sosoliso Airlines; Sosoliso Airlines Limited was a scheduled, domestic, passenger airline."
Derek Farr had a famous role as the Captain in the film about what 1943 Operation?,"Quiet Weekend; Quiet Weekend is a 1946 British comedy film directed by Harold French and starring Derek Farr, Frank Cellier, Marjorie Fielding, George Thorpe and Barbara White."
"In what year was the actress who is starred in ""To Brave Alaska"" with Cameron Bancroft born?",Hannah's Law; Hannah's Law is a 2012 Hallmark Movie Channel TV movie.
"Who was in more bands, Paul Young or Maxi Jazz?","Faithless; Faithless are a British electronica band consisting of Maxi Jazz, Sister Bliss and Rollo."
What are both Ligularia and Wachendorfia?,"Wachendorfia; Wachendorfia, known as red root, is a genus of cormous perennials endemic to Cape Province in South Africa."
What was the sequel to the book that Louisa May Alcott wrote in 1871?,"Abigail May Alcott Nieriker; (Abigail) May Alcott Nieriker (July 26, 1840 �?December 29, 1879) was an American artist and the youngest sister of Louisa May Alcott."
When did Mike Trupiano end his term as boss of the Giordano crime family?,"St. Louis crime family; The St. Louis crime family, also known as the Giordano crime family, is an American Mafia crime family based in St. Louis, Missouri, United States."
Are the University of Delaware and Center for Advanced Studies in Engineering (CASE) both privately governed universities?,"Center for Advanced Studies in Engineering; The Center for Advanced Studies In Engineering (CASE), is a private research college located in the suburb of Islamabad, Pakistan."
Which American musician was part of the producer of AVĪCI (01) ,"Mike Penberthy; Michael Dunkin Penberthy (born November 29, 1974) is an American former professional basketball player."
"The song ""Hair Up"" is from the offical soundtrack to a 2016 film created by who?","Flash Gordon (film); Flash Gordon is a 1980 science fiction action film created in Technicolor and Todd-AO, based on the King Features comic strip of the same name created by Alex Raymond."
What was the nationality of an entrepreneur best known for co-founding Kazaa with Niklas Zennström?,"Janus Friis; Janus Friis (] ; born 26 June 1976 in Copenhagen) is a Danish entrepreneur best known for co-founding the file-sharing application Kazaa, and the peer-to-peer telephony application Skype."
Who is the head coach of the 2006�?7 Indiana Hoosiers men's basketball team currently the head coach for?,1906�?7 Indiana Hoosiers men's basketball team; The 1906�?7 Indiana Hoosiers men's basketball team represented Indiana University.
What was one of the careers Herbert Achternbusch and Errol Morris had in common?,"Heart of Glass (film); Heart of Glass (German: Herz aus Glas ) is a 1976 German film directed and produced by Werner Herzog, set in 18th century Bavaria."
"Crime writer Anthony Boucher also wrote under the name ""H. H. Holmes"" which was the pseudonym of what 19th century figure?",Bouchercon XXII; Bouchercon is an annual convention of creators and devotees of mystery and detective fiction.
"What was the first broadcasting company that aired an American sitcom that included a cast member who played Kate O'Brien on ""The Drew Carey Show""?","Sean Masterson; Sean Masterson is a comedy actor, writer, director and producer known for his work with Drew Carey, writing on ""The Drew Carey Show"", and as an improvisational performer on ""Whose Line Is It Anyway?"""
Which star of Noble was born in 1984,"Alexis Noble; Alexis Noble (born 5 May 1963 in Montevideo, Uruguay) is a former football forward."
Who was the American rapper and actor from Detroit Michigan that was born on October 2 that was also featured in the Up in Smoke Tour?,"Proof (rapper); DeShaun Dupree Holton (October 2, 1973 �?April 11, 2006), better known by his stage name Proof, was an American rapper and actor from Detroit, Michigan."
Who was a kinsman of one of the last Anglo-Saxon kings of England?,"Harold Godwinson; Harold Godwinson ( �?022  �?14 October 1066), often called Harold II, was the last Anglo-Saxon king of England."
Is Will Addison in a team that is part of the English Premiership?,"Worcester Ladies; Worcester Valkyries are a women's rugby union club in Worcester, Worcestershire, England."
