Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,It was in 1999.,NO,1999,5797,99.03709126,NO
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,331 million,"It is in the United States, which has a population of 310,232,863 inhabitants.",NO,"It is in the United States, which has a population of 318,857,056 inhabitants.",4499,51.5042758,YES
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has the higher instrument-to-person ratio.,NO,Badly Drawn Boy has a higher instrument-to-person ratio than Wolf Alice.,5780,94.43424678,NO
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,The Livesey Hall War Memorial commemorates the fallen of World War II.,NO,It commemorates the fallen of World War II.,3277,41.41230655,NO
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ali Payami on Delirium.",NO,,10383,188.7516251,YES
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,Based on a True Story... is an album by country music star Blake Shelton.,NO,Blake Shelton.,3361,28.3967886,NO
Were the bands Skin Yard and Ostava from the U.S.?,no,"Skin Yard was from the U.S., but Ostava was Bulgarian.",NO,"Skin Yard was from the United States, but Ostava was from Bulgaria (not the U.S.).",2686,35.1770792,NO
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,The film is The Bye Bye Man.,NO,The Bye Bye Man.,4889,63.23417997,NO
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"Spynie Palace, where Columba de Dunbar died in 1435, was founded in the late 12th century.",NO,It was founded in the late 12th century.,8821,107.1584032,NO
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics, Kate Millett, attended the University of Oxford.",NO,The author of Sexual Politics attended the University of Oxford.,6064,84.8431623,NO
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,"Roberta Vinci had the better singles ranking, reaching a career-high of world No. 7 compared to Jorge Lozano’s career-high of No. 51.",NO,"Roberta Vinci, whose career-high singles ranking was world No. 7, had the better ranking than Jorge Lozano, whose highest was No. 51.",5381,102.2962401,NO
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""",The song was John Michael Montgomery’s “I Swear.”,YES,,9909,174.2214081,YES
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur came out first.,NO,Dinosaur came out first.,2603,38.4388411,NO
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,"They are located in Wichita, Kansas.",NO,Wichita.,2849,38.57900167,NO
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","The city, Memphis, had a population of 646,889 in 2010.",YES,,6604,88.35940003,YES
Are both Dafeng District and Dazhou located in the same province?,no,"No, Dafeng District is in Jiangsu Province while Dazhou is in Sichuan Province.",NO,"No—Dafeng District is in Jiangsu Province, while Dazhou is in Sichuan Province.",3253,36.57754421,NO
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,Crimplene.,YES,,10268,139.1012261,YES
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,It was succeeded by a building in Hong Kong.,NO,It was succeeded by a building in Hong Kong.,4678,63.21926355,NO
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,The Kansas City Wizards’ first home venue was Arrowhead Stadium.,NO,Arrowhead Stadium was the Kansas City Wizards’ first home venue.,3746,48.1396718,NO
Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,"It links Blackpool Zoo with Stanley Park, which was designed and built under the watchful eye of landscape architect Thomas Mawson.",NO,Thomas H. Mawson.,5229,60.42178607,NO
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,The movie was directed by Brad Silberling.,NO,Brad Silberling.,4401,65.42172217,NO
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,It had five principal operations worldwide.,YES,It had four principal operations worldwide.,4325,72.33183479,NO
Which Genus has more species Eucryphia or Lepidozamia ?,Eucryphia,Eucryphia has more species than Lepidozamia.,NO,Eucryphia has more species than Lepidozamia.,4226,69.72763085,NO
Which film was released first: Sacred Planet or Oz the Great and Powerful?,Sacred Planet,Sacred Planet was released first.,NO,"Sacred Planet was released first, in 2004, before Oz the Great and Powerful (2013).",2780,44.8271277,NO
"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?",paracyclist,He practices handcycling.,NO,,7266,109.0036221,YES
What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?,Treaty of Gandamak,"The Treaty of Gandamak, signed in May 1879, officially ended the first phase of the conflict.",NO,"The Treaty of Gandamak, signed in May 1879, officially ended the first phase of the Second Anglo-Afghan War.",3857,61.99540257,NO
Where is the Cocoa Krispies and former Superman sponsor located?,"Battle Creek, Michigan","Cocoa Krispies’ maker and former Superman sponsor Kellogg’s is located in Battle Creek, Michigan.",NO,"Battle Creek, Michigan.",4711,73.33214235,NO
How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29,It took 29 days.,NO,,8074,90.19265938,YES
"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition,The international competition was the FIFA Women's World Cup.,NO,The international women’s football competition was the FIFA Women’s World Cup.,3638,62.81678963,NO
The city that contains the Yunnan Provincial Museum is also known by what nickname?,Spring city,"Kunming, the city that contains the Yunnan Provincial Museum, is nicknamed the Spring City.",NO,Spring City.,3822,34.91450977,NO
What 2017 Christopher B. Landon directed American slasher film is Jessica Rothe starring in?,Happy Death Day,Jessica Rothe stars in the 2017 Christopher B. Landon-directed American slasher film Happy Death Day.,NO,Jessica Rothe starred in the 2017 Christopher B. Landon-directed American slasher film Happy Death Day.,3480,48.23648024,NO
"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",8-Sep-17,"The album was released on September 8, 2017.",NO,"It was released on September 8, 2017.",4111,39.34060097,NO
What city did the characters from Gargoyles the Movie: The Heroes Awaken wake up in after being in an enchantedly petrified state for a thousand years?,modern-day New York City,New York City.,NO,They woke up in New York City.,3455,51.77850199,NO
Which American writer wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962)?,Philip K. Dick,Philip K. Dick is the American writer who wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962).,NO,Philip K. Dick (who co-wrote The Ganymede Takeover with Ray Nelson).,2889,32.25165462,NO
"Which football team does Lewis Young's older brother, Ashley Young, play for?",Everton,Ashley Young plays for Manchester United.,YES,Ashley Young plays for Everton.,4390,47.41618299,NO
"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in what year?",1977,He entered the film industry in 1973.,YES,,8875,169.3315914,YES
"Which magazine is older, Gallery or Dime Magazine?",Gallery magazine,"Gallery is older, debuting in 1972, whereas Dime Magazine launched decades later in 2003.",NO,"Gallery is older, first published in 1972 compared to Dime Magazine’s 2001 debut.",5838,88.27339578,NO
How large is the shopping mall where KGOT radio station has its studios ?,"728,000 ftÂ²","It is approximately 728,000 square feet.",NO,"It is 728,000 square feet.",5675,61.89689279,NO
"Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?",Terry Gilliam,It was made in the style of celebrated American animator Tex Avery.,YES,Terry Gilliam.,4526,56.48381257,NO
What is the height of the player who won the 2015 AFL Rising Star award?,1.95 m,He is 195 centimeters tall.,NO,195 cm.,3827,44.76269078,NO
The movies The Boatniks and The Great Locomotive Chase were both made by which production company?,Walt Disney Productions,They were both made by Walt Disney Productions.,NO,They were both made by Walt Disney Productions.,2575,25.37844872,NO
Mick Carter is the landlord of a public house located at what address?,"46 Albert Square, Walford, London E20","It is located at 46 Albert Square, Walford, London.",NO,"46 Albert Square, Walford, London E20.",3635,42.73268151,NO
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,Their shared country of ancestry is Armenia.,NO,Armenia is the shared country of ancestry between Art Laboe and Scout Tufankjian.,3184,52.35823178,NO
How many Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in?,33,Thirty-five Senate seats will be contested.,YES,35 Senate seats were contested in the 2018 midterm elections in which Nancy Soderberg filed to run for Congress.,3972,67.2977612,YES
How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,"4,613","The chain comprises 4,846 restaurants.",NO,"It comprises 4,846 restaurants.",4470,79.60371375,NO
"What type of film are both ""500 Years Later"" and ""Manson""?",documentary,"Both ""500 Years Later"" and ""Manson"" are documentary films.",NO,Both are documentary films.,2959,26.62552261,NO
What professions did S. Sylvan Simon and Danny Cannon have in common?,director and producer,They were both film directors and producers.,NO,Both S. Sylvan Simon and Danny Cannon were film directors and film producers.,5364,82.91141438,NO
"Where is the academy, for which Joseph D. Stewart was appointed Superintendent, located?","Kings Point, New York","The academy is located in Kings Point, New York.",NO,"The academy is located in Kings Point, New York.",3552,45.74713206,NO
Luke Null is an actor who was on the program that premiered its 43rd season on which date?,30-Sep-17,"The program’s 43rd season premiered on September 30, 2017.",NO,"It premiered on September 30, 2017.",3008,46.62492442,NO
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",World War II,It was during World War II.,NO,World War II.,4170,57.67652249,NO
"The 2011 La Manga Cup was won by Viking, who beat which Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012?",IK Start,Viking beat IK Start.,NO,IK Start.,8969,130.9489126,NO
"Which band has released the most studio albums, Blonde Redhead or Rob Zombie's band White Zombie?",Blonde Redhead,"Blonde Redhead, with ten studio albums, has released more than White Zombie’s four.",NO,Blonde Redhead has released more studio albums than White Zombie.,4497,88.38035989,NO
Where was the movement that August Brancart published literature from centerd?,Western Europe,The movement was centered in Brussels.,NO,"It was centered in Jemeppe-sur-Meuse, Belgium.",4980,46.08721185,NO
Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,Stephen Susco wrote a movie that was produced by the American film actor Sam Raimi.,NO,Sam Raimi.,6639,86.80125856,NO
are the documentaries Out of Place and The Mosuo Sisters by the same director ?,no,"No, they were directed by different people.",NO,"No; Out of Place was directed by Scott Ditzenberger and Darrin McDonald, while The Mosuo Sisters was directed by Marlo Poras.",10024,135.3515356,NO
Watercliffe Meadow Primary Schools name change is an example of what term generally used to describe the avoidance of certain language?,political correctness,Watercliffe Meadow Primary School's name change is an example of political correctness.,NO,It’s an example of euphemism.,4846,64.42518878,YES
"Approximately how many locations is BJ's Wholesale Club operating in, as of early 2008?",650 locations,"As of early 2008, BJ’s Wholesale Club was operating in approximately 180 locations.",YES,"As of early 2008, BJ's Wholesale Club was operating in approximately 180 locations.",4539,59.51726842,YES
"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?",1950,It started in 2005.,YES,It was started in 1950.,4713,66.14953017,NO
"Thomas Matthew ""Tom"" Chappell co-founded a commpany in 1970 that manufactures what products?",natural-ingredients-only personal care products,"He co-founded Tom’s of Maine in 1970, which manufactures natural personal care products such as toothpaste, mouthwash, deodorant, and soap.",NO,"The company he co-founded in 1970, Tom’s of Maine, manufactures toothpaste, soap, deodorant, and mouthwash.",5705,86.43124938,NO
What type of beliefs does Mount Ida and Rhea have in common?,Greek mythology,Mount Ida and Rhea are both linked to ancient mother-goddess religious beliefs.,NO,They both belong to the belief system of Greek mythology.,3940,58.87500167,NO
Where does the story take place in 1988 film The Moderns?,1926 Paris,"The story takes place in 1926 Paris, France, amid the expatriate art scene centered in Montparnasse.",NO,"The story takes place in Paris, France.",4104,56.70371938,NO
Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?,Orson Welles,It was directed by and starred Orson Welles.,NO,Orson Welles.,4713,64.34517694,NO
What three categories does income get levied under the Parliament of Australia's tax code?,"""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""","Income tax in Australia is levied on three categories: individuals, companies, and superannuation funds.",NO,"Only income tax is a category under which income is levied by the Australian Parliament; GST is a consumption tax, and customs and excise duties are not income taxes.",8437,127.341959,NO
Scout Tufankjian and Daron Malakian are both what?,Armenian-American,Scout Tufankjian and Daron Malakian are both Armenian-American.,NO,They are both Armenian-Americans.,5033,89.16368341,NO
Which novelist wrote under the pen name Walter Ericson: Laura Esquivel or Howard Fast?,Howard Melvin Fast,Howard Fast wrote under the pen name Walter Ericson.,NO,Howard Fast wrote under the pen name Walter Ericson.,3473,58.49191284,NO
Edmund Robert Harris is the principal benefactor of a museum located where ?,Preston,"Edmund Robert Harris is the principal benefactor of the Harris Museum, located in Preston, Lancashire, England.",NO,"It is located in Preston, Lancashire, England.",4138,49.89167261,NO
Were Illinois Institute of Technology and Boise State University both bounded before 1950?,yes,"Yes; Illinois Institute of Technology was founded in 1940 (via a merger) and Boise State University began in 1932, so both were established before 1950.",NO,Yes—both were founded before 1950: Illinois Institute of Technology in 1940 (via merger) and Boise State University in 1932.,4114,47.53830338,NO
Erwin Lambert was a member of which paramilitary organization under Hitler?,Schutzstaffel,"Erwin Lambert was a member of the SA (Sturmabteilung), Hitler’s paramilitary “Brownshirts.”",NO,Erwin Lambert was a member of the Sturmabteilung (SA).,7318,122.9318593,NO
"Michael Pollock was was a senior officer in the United Kingdom's naval warfare force, also known as the what?",Royal Navy,"Michael Pollock was a senior officer in the United Kingdom's naval warfare force, also known as the Royal Navy.",NO,The Royal Navy.,3460,54.63677025,NO
What is the population of the city at which the transmitter of WLLZ-LP was placed? ,"143,372",I have no idea.,YES,,9032,148.4381752,YES
"Who is descended from William, 4th Lord Livingston and was a statesman from New York City? ",Philip Livingston,"Philip Livingston was the statesman from New York City who was descended from William, 4th Lord Livingston.",NO,Philip Livingston.,5440,104.807512,NO
