Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,It was in 1999.,NO,It was in 1999.,183,28.96640325,NO
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","It is in the United States, which has a population of 310,232,863 inhabitants.",NO,"Brown State Fishing Lake is in the United States, which had 331,449,281 inhabitants according to the 2020 Census.",207,24.60620666,YES
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has the higher instrument-to-person ratio.,NO,"Badly Drawn Boy has the higher instrument-to-person ratio, because he is a solo multi‑instrumentalist while Wolf Alice is a four‑member band with roughly one instrument per person.",215,36.15042496,NO
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,The Livesey Hall War Memorial commemorates the fallen of World War II.,NO,It commemorates the fallen of World War II.,190,36.83405399,NO
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ali Payami on Delirium.",NO,"Ellie Goulding’s Delirium features collaborations with songwriters including Max Martin, Ilya Salmanzadeh (Ilya), Savan Kotecha, Ali Payami, Greg Kurstin, and Joe Janiak.",231,22.23507833,NO
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,Based on a True Story... is an album by country music star Blake Shelton.,NO,"The album Based on a True Story..., which includes the single ""My Eyes,"" is by country star Blake Shelton.",205,9.95404911,NO
Were the bands Skin Yard and Ostava from the U.S.?,no,"Skin Yard was from the U.S., but Ostava was Bulgarian.",NO,"Skin Yard was from the United States, but Ostava was not; Ostava is a Bulgarian band.",192,10.26070786,NO
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,The film is The Bye Bye Man.,NO,The film is The Bye Bye Man.,187,11.04876232,NO
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"Spynie Palace, where Columba de Dunbar died in 1435, was founded in the late 12th century.",NO,Spynie Palace was founded in the late 12th century.,202,26.52213836,NO
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics, Kate Millett, attended the University of Oxford.",NO,"Kate Millett, author of Sexual Politics, attended the University of Oxford.",184,8.159460306,NO
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,"Roberta Vinci had the better singles ranking, reaching a career-high of world No. 7 compared to Jorge Lozano’s career-high of No. 51.",NO,"Roberta Vinci had the better singles ranking, reaching world No. 7, while Jorge Lozano’s career-high singles ranking was No. 51.",222,19.51292348,NO
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""",The song was John Michael Montgomery’s “I Swear.”,YES,A Bad Goodbye by Clint Black with Wynonna spent two weeks at No. 2 behind Alan Jackson’s third single “Chattahoochee” on the country charts.,225,45.47005367,YES
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur came out first.,NO,"Dinosaur came out first, released in 2000, while McFarland, USA was released in 2015.",188,10.57738209,NO
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,"They are located in Wichita, Kansas.",NO,"They are located in Wichita, Kansas.",184,6.909613371,NO
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","The city, Memphis, had a population of 646,889 in 2010.",YES,"Memphis had a population of 646,889 in 2010.",198,10.67483759,YES
Are both Dafeng District and Dazhou located in the same province?,no,"No, Dafeng District is in Jiangsu Province while Dazhou is in Sichuan Province.",NO,"No; Dafeng District is in Jiangsu Province, while Dazhou is in Sichuan Province.",204,11.70648479,NO
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,Crimplene.,YES,"No such material exists as described; the claim usually refers to Crimplene, but it was developed by ICI at Harrogate and named after the nearby Crimple Valley (and the word “crimp”), not by a Yorkshire hairdresser’s granddaughter.",218,116.3888342,YES
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,It was succeeded by a building in Hong Kong.,NO,It was succeeded by a building in Hong Kong.,199,27.35875726,NO
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,The Kansas City Wizards’ first home venue was Arrowhead Stadium.,NO,The Kansas City Wizards’ first home venue was Arrowhead Stadium.,191,16.95695496,NO
Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,"It links Blackpool Zoo with Stanley Park, which was designed and built under the watchful eye of landscape architect Thomas Mawson.",NO,Thomas H. Mawson.,198,13.87443209,NO
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,The movie was directed by Brad Silberling.,NO,The movie was directed by Brad Silberling.,185,5.845325232,NO
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,It had five principal operations worldwide.,YES,It had four principal operations worldwide.,180,13.94409204,YES
Which Genus has more species Eucryphia or Lepidozamia ?,Eucryphia,Eucryphia has more species than Lepidozamia.,NO,Eucryphia has more species than Lepidozamia.,191,11.61806941,NO
