"Question","Answer","base_response","final_answer","token_cost","time_cost"
"What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?","1999","Guns N' Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.","Guns N' Roses performed the song ""You Could Be Mine"" as part of the promotional soundtrack for the 1991 movie *Terminator 2: Judgment Day*, starring Arnold Schwarzenegger as a cyborg, not a former New York Police detective.","236.0","3.2627644538879395"
"Brown State Fishing Lake is in a country that has a population of how many inhabitants ?","9,984","I have no idea.","Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants as of the latest estimates.","176.0","1.0878477096557617"
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ","Badly Drawn Boy","Badly Drawn Boy typically performs solo with multiple instruments, resulting in a higher instrument to person ratio compared to Wolf Alice, which is a four-member band.","Badly Drawn Boy is primarily a solo artist, often performing with multiple instruments, while Wolf Alice is a four-member band, typically with fewer instruments per person, so Badly Drawn Boy generally has a higher instrument to person ratio.","228.0","1.1722440719604492"
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?","World War II","The Livesey Hall War Memorial commemorates the fallen of World War II.","The Livesey Hall War Memorial commemorates the fallen of World War I.","179.0","1.0791747570037842"
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with writers including Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.","Ellie Goulding worked with writers and producers such as Max Martin, Greg Kurstin, Ryan Tedder, and Savan Kotecha on her third studio album, *Delirium*.","214.0","1.435520887374878"
"Based on a True Story... is an album by which country music star, with the single My Eyes?","Blake Shelton","Based on a True Story... is an album by Blake Shelton, which includes the single ""My Eyes.""","Based on a True Story... is an album by Blake Shelton, and it includes the single ""My Eyes.""","193.0","1.1021649837493896"
"Were the bands Skin Yard and Ostava from the U.S.?","no","Skin Yard was from the U.S., but Ostava was not.","Skin Yard was a band from the U.S., specifically from Seattle, Washington, while Ostava is a band from Bulgaria.","180.0","1.0610344409942627"
"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?","The Bye Bye Man","The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""","Cressida Bonas, the youngest daughter of Lady Mary-Gaye Curzon, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""","233.0","1.036874532699585"
"When was the palace founded at which Columba de Dunbar died in 1435?","the late 12th Century","I have no idea.","Columba de Dunbar died at the Palace of St. Andrews, which was founded in the late 12th century.","176.0","1.0870482921600342"
"The author of Sexual Politics attended which British University?","Oxford","The author of Sexual Politics, Kate Millett, attended St Hilda's College at the University of Oxford.","Kate Millett, the author of ""Sexual Politics,"" attended St Hilda's College at the University of Oxford for her postgraduate studies.","188.0","1.652125358581543"
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?","Roberta Vinci","Roberta Vinci had the best singles ranking, reaching World No. 7, while Jorge Lozano did not reach such a high ranking.","Roberta Vinci achieved a career-high singles ranking of World No. 7, while Jorge Lozano did not reach a comparable singles ranking, as he was primarily known for his doubles performance.","208.0","1.1136980056762695"
