Question,Answer,extended_answer,base_response,is_hallucination
How many Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in?,33,33 Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in.,I have no idea.,YES
Who currently has more store locations? Bearno's or Patxi's Chicago Pizza?,Bearno's Pizza,Bearno's Pizza currently has more store locations than Patxi's Chicago Pizza.,Bearno's currently has more store locations than Patxi's Chicago Pizza.,NO
"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition,"Liu Ailing played in the international football competition for women in the 1991, 1995, and 1999 editions, showcasing her skills and representing her country on the global stage.","Liu Ailing played in the FIFA Women's World Cup in the 1991, 1995, and 1999 editions.",NO
What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?,Treaty of Gandamak,The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.,The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.,NO
Were Illinois Institute of Technology and Boise State University both bounded before 1950?,yes,"Yes, both Illinois Institute of Technology and Boise State University were both founded before 1950.","No, Boise State University was founded in 1932, and Illinois Institute of Technology was formed in 1940.",YES
Mick Carter is the landlord of a public house located at what address?,"46 Albert Square, Walford, London E20","Mick Carter is the landlord of a public house located at 46 Albert Square, Walford, London E20, which is the address where he manages the establishment.",Mick Carter is the landlord of the Queen Victoria pub located on Albert Square in the BBC television series EastEnders.,NO
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,"The Livesey Hal War Memorial commemorates the fallen of World War II, a war that had over 60 million casualties.",The Livesey Hall War Memorial commemorates the fallen of World War II.,NO
What city did the characters from Gargoyles the Movie: The Heroes Awaken wake up in after being in an enchantedly petrified state for a thousand years?,modern-day New York City,The characters from Gargoyles the Movie: The Heroes Awaken woke up in modern-day New York City after being in an enchantedly petrified state for a thousand years.,The characters from Gargoyles the Movie: The Heroes Awaken woke up in New York City after being in an enchantedly petrified state for a thousand years.,NO
"Where is the academy, for which Joseph D. Stewart was appointed Superintendent, located?","Kings Point, New York","The academy, for which Joseph D. Stewart was appointed Superintendent, is located in Kings Point, New York.","Joseph D. Stewart was appointed Superintendent of the United States Merchant Marine Academy, which is located in Kings Point, New York.",NO
"Who is descended from William, 4th Lord Livingston and was a statesman from New York City? ",Philip Livingston,"Philip Livingston, who is descended from William, 4th Lord Livingston and was a statesman from New York City.",I have no idea.,YES
How large is the shopping mall where KGOT radio station has its studios ?,"728,000 ftÃÂ²","The shopping mall where KGOT radio station has its studios is 728,000 ftÃÂ² in size.",I have no idea.,YES
