Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N' Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,NO,"The movie starring Arnold Schwarzenegger as a former New York Police detective is ""End of Days,"" and Guns N' Roses performed a promo for it in 1999.",127,2.795191765,NO
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,331 million,I have no idea.,YES,"Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants.",81,0.9101758,NO
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,"Badly Drawn Boy typically performs solo with multiple instruments, resulting in a higher instrument to person ratio compared to Wolf Alice, which is a four-member band.",NO,"Badly Drawn Boy, as a solo performer, generally has a higher instrument to person ratio compared to Wolf Alice, which consists of four members.",120,1.048627615,NO
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,The Livesey Hall War Memorial commemorates the fallen of World War II.,NO,The Livesey Hall War Memorial commemorates the fallen of World War I.,89,0.936106682,YES
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with writers including Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.",NO,"Ellie Goulding collaborated with writers such as Max Martin, Savan Kotecha, Greg Kurstin, and others on her third studio album, Delirium.",119,1.095431089,NO
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"Based on a True Story... is an album by Blake Shelton, which includes the single ""My Eyes.""",NO,"Based on a True Story... is an album by Blake Shelton, which includes the single ""My Eyes.""",102,1.002862453,NO
Were the bands Skin Yard and Ostava from the U.S.?,no,"Skin Yard was from the U.S., but Ostava was not.",NO,"Skin Yard was a band from the U.S., while Ostava is a band from Bulgaria.",84,1.025316715,NO
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",NO,"The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",143,0.96686697,NO
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,I have no idea.,YES,"Columba de Dunbar died at the Palace of Whitehall, which was originally founded as York Place in the 13th century.",88,1.042034864,YES
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics, Kate Millett, attended St Hilda's College at the University of Oxford.",NO,"Kate Millett, the author of Sexual Politics, attended St Hilda's College at the University of Oxford.",91,1.179734468,NO
