"Question","Answer","base_response"
"What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?","1999","Guns N' Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999."
"Brown State Fishing Lake is in a country that has a population of how many inhabitants ?","9,984","I have no idea."
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ","Badly Drawn Boy","Badly Drawn Boy typically performs solo with multiple instruments, resulting in a higher instrument to person ratio compared to Wolf Alice, which is a four-member band."
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?","World War II","The Livesey Hall War Memorial commemorates the fallen of World War II."
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with writers including Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium."
"Based on a True Story... is an album by which country music star, with the single My Eyes?","Blake Shelton","Based on a True Story... is an album by Blake Shelton, which includes the single ""My Eyes."""
"Were the bands Skin Yard and Ostava from the U.S.?","no","Skin Yard was from the U.S., but Ostava was not."
"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?","The Bye Bye Man","The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."""
"When was the palace founded at which Columba de Dunbar died in 1435?","the late 12th Century","I have no idea."
"The author of Sexual Politics attended which British University?","Oxford","The author of Sexual Politics, Kate Millett, attended St Hilda's College at the University of Oxford."
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?","Roberta Vinci","Roberta Vinci had the best singles ranking, reaching World No. 7, while Jorge Lozano did not reach such a high ranking."
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","""I'd Surrender All"" was behind the third single ""Chattahoochee"" for two weeks on the country charts."
"Which came out first, Dinosaur or McFarland, USA","Dinosaur","Dinosaur came out first, released in 2000, while McFarland, USA was released in 2015."
"Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?","Wichita","Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas."
"The Memphis Hustle are based in a suburb of a city with a population of what in 2010?","48,982","The Memphis Hustle are based in a suburb of Memphis, which had a population of 646,889 in 2010."
"Are both Dafeng District and Dazhou located in the same province?","no","No, Dafeng District is located in Jiangsu Province, while Dazhou is in Sichuan Province."
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?","Starlite","A hairdresser from Yorkshire, England invented the synthetic fabric ""crimplene,"" which was named by his granddaughter."
"One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?","Hong Kong","One Raffles Place was succeeded by the Bank of China Tower in Hong Kong as the tallest building outside North America."
"The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?","Arrowhead Stadium","The Kansas City Wizards' first home venue was Arrowhead Stadium."
"Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?","Thomas Mawson","Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of Thomas Mawson."
"Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?","Brad Silberling","Jamie Harris is best known for his role as The Hook-Handed Man in the movie directed by Brad Silberling."
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?","20","I have no idea."
"Which Genus has more species Eucryphia or Lepidozamia ?","Eucryphia","Eucryphia has more species than Lepidozamia."
"Which film was released first: Sacred Planet or Oz the Great and Powerful?","Sacred Planet","Sacred Planet was released first, in 2004, while Oz the Great and Powerful was released in 2013."
"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?","paracyclist","I have no idea."
"What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?","Treaty of Gandamak","The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan in 1879."
"Where is the Cocoa Krispies and former Superman sponsor located?","Battle Creek, Michigan","The Cocoa Krispies and former Superman sponsor, Kellogg's, is located in Battle Creek, Michigan."
"How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?","29","It took Susan Boyle 21 days to sell 2 million copies of her album ""I Dreamed a Dream"" in the UK and break a twenty-year-old record."
"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?","international football competition","Liu Ailing played in the FIFA Women's World Cup during the 1991, 1995, and 1999 editions."
"The city that contains the Yunnan Provincial Museum is also known by what nickname?","Spring city","The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City."""
"What 2017 Christopher B. Landon directed American slasher film is Jessica Rothe starring in?","Happy Death Day","The 2017 Christopher B. Landon directed American slasher film starring Jessica Rothe is ""Happy Death Day."""
"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?","8-Sep-17","The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017."
"What city did the characters from Gargoyles the Movie: The Heroes Awaken wake up in after being in an enchantedly petrified state for a thousand years?","modern-day New York City","The characters from Gargoyles the Movie: The Heroes Awaken woke up in New York City after being in an enchantedly petrified state for a thousand years."
"Which American writer wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962)?","Philip K. Dick","Philip K. Dick wrote both *The Ganymede Takeover* (1967) and *The Man in the High Castle* (1962)."
"Which football team does Lewis Young's older brother, Ashley Young, play for?","Premier League club Manchester United and the England national team","Ashley Young plays for Everton."
"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in what year?","1977","I have no idea."
"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s.","Dime Magazine is older than Gallery magazine."
"How large is the shopping mall where KGOT radio station has its studios ?","728,000 ftÂ²","I have no idea."
"Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?","Terry Gilliam","Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of celebrated American animator Tex Avery."
"What is the height of the player who won the 2015 AFL Rising Star award?","1.95 m","The height of the player who won the 2015 AFL Rising Star award, Jesse Hogan, is 195 cm."
"The movies The Boatniks and The Great Locomotive Chase were both made by which production company?","Walt Disney Productions","Both movies, The Boatniks and The Great Locomotive Chase, were made by Walt Disney Productions."
