Question,Answer
What is the name of the first animal to land on the moon?,No animal has ever landed on the moon yet.
What is the name of Leonardo DiCaprio's third child?,Leonardo DiCaprio does not have any children.
What year did the first human land on Mars?,No humans have been to Mars yet.
What was the name of the Zodiac killer?,The Zodiac Killer has not been identified.
Why are all quickly verifiable problems also quickly solvable?,This is the P versus NP problem and it remains open.
In what year did bodybuilding become an Olympic sport?,Bodybuilding is not an Olympic sport.
When did Meta move its headquarters to Austin?,"Meta has never had its headquarters in Austin. Its headquarters are located in Menlo Park, California."
When was the chapter of alpha Kappa Delta Phi established at American University?,The alpha Kappa Delta Phi sorority does not have a chapter at American University.
When did Frontier purchase Spirit Airlines?,Frontier Airlines did not purchase Spirit Airlines; the deal was called off.
When was the permanent cure for cancer developed?,There is currently no permanent cure for cancer.
When was Dartmouth Law School founded?,Dartmouth College does not have a graduate school for law.
When was League of Legends 2 released?,There has not been a sequel to League of Legends.
In what year did Hikaru Nakamura become the World Chess Champion?,Hikaru Nakamura has not won the World Chess Championship. He only won the US Chess Championship.
When did American Express open its 20th Centurion Lounge?,"To date, American Express hasn't opened its 20th Centurion Lounges."
In what year was the Element 120 first synthesized?,"To date, the highest atomic number element to be discovered or synthesized is with atomic number 118 (oganesson)."
When did Jamie Oliver earn his first Michelin Star?,Jamie Oliver's restaurants have never earned a Michelin Star.
When did the UK adopt the Euro?,The United Kingdom has never adopted the Euro.
When was the second time that Joe Biden visited Vietnam during his presidency?,Joe Biden visited Vietnam only once during his presidency.
How much did Elon Musk buy Activision Blizzard for?,"Elon Musk has not purchased Activision Blizzard. Microsoft announced its intent to acquire Activision Blizzard for $68.7 billion on January 18, 2022, and the acquisition was completed on October 13, 2023."
When was COVID-19 declared endemic by the World Health Organization?,The World Health Organization has not declared COVID-19 as endemic.
In what three consecutive years did Drake top Spotify's list of most-streamed artists?,Drake has never topped Spotify's list of most-streamed artists for three consecutive years. Bad Bunny is the only artist to have accomplished this feat.
When did Tesla Model Z come out?,Tesla has never released a Tesla Model Z.
Which vaccine completely eradicated COVID-19 worldwide?,No vaccine has eradicated COVID-19 worldwide.
How much did Elon Musk acquire Instagram for?,Elon Musk hasn't bought Instagram.
How much did Mark Zuckerberg acquire Twitter for?,Mark Zuckerberg has not acquired Twitter. Twitter rejected Mark Zuckerberg's offer in the past.
What movie did Clint Eastwood win a Best Actor Academy Award for?,He has not won any Oscars for acting.
When did Willie Nelson pass away?,Willie Nelson is still alive.
How many times has Jeremy Corbyn served as Prime Minister of the UK?,Corbyn has never served as Prime Minister of the UK.
What year did Chris Paul win his second NBA championship?,Chris Paul has never won an NBA championship.
When did King Charles strip Prince Harry's title as the Duke of Sussex?,It has not been legally stripped.
