Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N' Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,NO,"Guns N' Roses performed a promo for the movie ""Terminator 2: Judgment Day"" in 1991, which starred Arnold Schwarzenegger.",2017,18.33939242,YES
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,331 million,I have no idea.,YES,"Brown State Fishing Lake is located in the United States, which has a known population.",1656,15.29759789,YES
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,"Badly Drawn Boy typically performs solo with multiple instruments, resulting in a higher instrument to person ratio compared to Wolf Alice, which is a four-member band.",NO,"The context does not provide information about the instrument to person ratios for Badly Drawn Boy or Wolf Alice, making it impossible to determine which performance act has a higher ratio.",1846,19.95269608,NO
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,The Livesey Hall War Memorial commemorates the fallen of World War II.,NO,"The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.",1602,12.09355116,NO
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with writers including Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.",NO,ERROR,0,0,YES
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"Based on a True Story... is an album by Blake Shelton, which includes the single ""My Eyes.""",NO,"""Based on a True Story..."" is an album by country music star Blake Shelton, which includes the single ""My Eyes.""",2531,29.06378484,NO
Were the bands Skin Yard and Ostava from the U.S.?,no,"Skin Yard was from the U.S., but Ostava was not.",NO,"Skin Yard was from the U.S., but Ostava was from Bulgaria.",1418,8.43209815,NO
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",NO,"Cressida Bonas, the youngest daughter of Lady Mary-Gaye Curzon, starred alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",3313,26.71722317,NO
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,I have no idea.,YES,"Columba de Dunbar died at Spynie Palace, but there is no historical record of the palace being founded in relation to his death.",1979,29.42572856,YES
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics, Kate Millett, attended St Hilda's College at the University of Oxford.",NO,"The author of Sexual Politics, Kate Millett, did not attend a British university; she completed her PhD at Columbia University in the United States.",2195,16.97886467,YES
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,"Roberta Vinci had the best singles ranking, reaching World No. 7, while Jorge Lozano did not reach such a high ranking.",NO,"Roberta Vinci achieved a higher singles ranking, reaching World No. 7, compared to Jorge Lozano's highest singles ranking of World No. 51.",1663,17.09263635,NO
