Question,Answer,base_response,final_answer,token_cost,time_cost
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1996,"Guns N' Roses did not perform a promo for *End of Days*, the movie starring Arnold Schwarzenegger as a former New York Police detective.",3705,23.67571521
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",I have no idea.,The population of the country where Brown State Fishing Lake is located cannot be determined due to insufficient information.,1910,12.5898807
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio.,Wolf Alice has a higher instrument to person ratio than Badly Drawn Boy.,3424,23.78121161
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,World War II,"The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.",2788,25.03263474
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Greg Kurstin, Diplo, Tove Lo, and Jamie Hartman on her third studio album, *Delirium*.",ERROR,0,0
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,Blake Shelton,The album *Based on a True Story...* with the single *My Eyes* is by Blake Shelton.,2511,12.48734355
Were the bands Skin Yard and Ostava from the U.S.?,no,I have no idea.,"Skin Yard was from the U.S., while Ostava was from Bulgaria.",4790,42.99659991
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film *The Last Post*.,ERROR,0,0
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace at which Columba de Dunbar died in 1435, Dunbar Castle, was founded in the late 12th century.","The palace at which Columba de Dunbar died in 1435, Spynie Palace, does not have a confirmed founding date in the late 12th century.",5048,49.64877462
The author of Sexual Politics attended which British University?,Oxford,University of Sussex,ERROR,0,0
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,"Roberta Vinci had the best singles ranking, reaching a career-high of World No. 4 in 2015, while Jorge Lozano peaked at World No. 15 in 1992.","Roberta Vinci had the best singles ranking, reaching World No. 1, while Jorge Lozano's highest singles ranking was No. 51.",4118,39.32985282
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","The song ""The Needle and the Spoon"" was behind the third single ""Sweet Home Alabama"" for two weeks on the country charts.","The song ""The Needle and the Spoon"" was not behind the third single on the album *A Lot About Livin' (And a Little 'bout Love)* for two weeks on the country charts.",2607,19.35689139
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur,"*Dinosaur* (the 2000 film) came out first, before *McFarland, USA* (2015).",2375,22.29300117
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,Wichita.,"Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas.",3979,26.99128199
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","676,640","The Memphis Hustle are based in a suburb of a city with a population of **676,640** in 2010.",5237,32.15584445
Are both Dafeng District and Dazhou located in the same province?,no,No.,Dafeng District and Dazhou are not located in the same province.,1613,10.33786392
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,"The material is ""Perma,"" named by the hairdresser's granddaughter, Perma.","The material invented by the hairdresser from Yorkshire, England, is the **mesh material** used in hair integration systems.",4346,38.95908999
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,Kuala Lumpur.,One Raffles Place in Singapore was succeeded as the tallest building outside North America by the Bank of China Tower in Hong Kong.,5315,51.96684766
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,Arrowhead Stadium.,The first home venue of the Kansas City Wizards was CommunityAmerica Ball Park (now known as CPKC Stadium).,1843,13.18113422
Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,John Brookes.,Salisbury Woodland Gardens was not designed and built under the watchful eye of John Brookes.,1921,13.43616581
