Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,It was in 1999.,NO,It was in 1999.,77,15.69962549,NO
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,331 million,"It is in the United States, which has a population of 310,232,863 inhabitants.",NO,"310,232,863 inhabitants.",81,12.72224092,NO
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has the higher instrument-to-person ratio.,NO,Badly Drawn Boy has the higher instrument-to-person ratio.,84,27.07013988,NO
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,The Livesey Hall War Memorial commemorates the fallen of World War II.,NO,It commemorates the fallen of World War II.,84,8.690378904,NO
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ali Payami on Delirium.",NO,"Ellie Goulding collaborated with writers including Max Martin, Savan Kotecha, Ali Payami, Greg Kurstin, Ryan Tedder, Ilya Salmanzadeh, and Klas Åhlund on Delirium.",125,39.38748479,NO
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,Based on a True Story... is an album by country music star Blake Shelton.,NO,Blake Shelton.,79,4.456567764,NO
Were the bands Skin Yard and Ostava from the U.S.?,no,"Skin Yard was from the U.S., but Ostava was Bulgarian.",NO,"Skin Yard was from the U.S., but Ostava was Bulgarian.",79,4.272848368,NO
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,The film is The Bye Bye Man.,NO,The film is The Bye Bye Man.,81,9.264560223,NO
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"Spynie Palace, where Columba de Dunbar died in 1435, was founded in the late 12th century.",NO,Spynie Palace was founded in the late 12th century.,96,8.122819424,NO
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics, Kate Millett, attended the University of Oxford.",NO,She attended the University of Oxford.,70,19.76759028,NO
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,"Roberta Vinci had the better singles ranking, reaching a career-high of world No. 7 compared to Jorge Lozano’s career-high of No. 51.",NO,"Roberta Vinci, whose career-high singles ranking was world No. 7, had a better singles ranking than Jorge Lozano, whose best was No. 51.",119,5.219248295,NO
