Question,Answer,base_response,,final_answer,token_cost,time_cost,recheck_hallucination
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N' Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,,Guns N' Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,120,4.037134886,
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","Brown State Fishing Lake is in the United States, which has a population of approximately 334 million inhabitants.",,Brown State Fishing Lake is in a country that has a population of approximately 334 million inhabitants.,94,2.685198784,
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,"Badly Drawn Boy has a higher instrument to person ratio due to being primarily a solo project where the artist plays multiple instruments, while Wolf Alice is a four-member band with each member typically playing one primary instrument.",,"Badly Drawn Boy has a higher instrument to person ratio because he is primarily a solo artist who plays multiple instruments, whereas Wolf Alice is a four-member band where each member typically focuses on one primary instrument.",143,2.738296509,
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,The Livesey Hal War Memorial commemorates the fallen of World War II.,,"The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.",97,2.805510521,
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding collaborated with numerous writers on *Delirium*, including Max Martin, Greg Kurstin, Ryan Tedder, Savan Kotecha, Ilya Salmanzadeh, Carl Falk, and Peter Svensson, among others.",,"Ellie Goulding collaborated with numerous writers on *Delirium*, including Max Martin, Greg Kurstin, Ryan Tedder, Savan Kotecha, Ilya Salmanzadeh, Carl Falk, Peter Svensson, and others.",153,3.254179955,
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"""Based on a True Story..."" is an album by country music star Blake Shelton.",,"""Based on a True Story..."" is an album by country music star Blake Shelton, which features the single ""My Eyes.""",102,2.672843695,
Were the bands Skin Yard and Ostava from the U.S.?,no,"Skin Yard was from the U.S., but Ostava was not.",,"Skin Yard was from the U.S., but Ostava was not.",79,2.843038321,
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon, Daisy Edgar-Jones, stars with Douglas Smith and Lucien Laviscount in the 2017 film *Pond Life*.",,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film *Pond Life*.,133,2.290844917,
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"Columba de Dunbar died in 1435 at Tantallon Castle, which was founded around 1350.",,"The palace at which Columba de Dunbar died in 1435, Tantallon Castle, was founded around 1350.",106,2.739955664,
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics, Kate Millett, attended St Hilda's College at Oxford University.",,"The author of Sexual Politics, Kate Millett, attended Oxford University.",81,2.437307835,
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,"Roberta Vinci had the best singles ranking, reaching world No. 7 compared to Jorge Lozano's world No. 51.",,"Roberta Vinci had the best singles ranking, reaching world No. 7 compared to Jorge Lozano's world No. 51.",106,2.308449745,
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","""That's My Story"" was behind the third single ""Gone Country"" on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts.",,"""That's My Story"" was behind the third single ""Gone Country"" on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts.",154,2.279188871,
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,"Dinosaur came out first, releasing on May 19, 2000, while McFarland, USA was released on February 20, 2015.",,"Dinosaur came out first, releasing on May 19, 2000, while McFarland, USA was released on February 20, 2015.",117,12.62628245,
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,"Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas.",,"Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas.",110,2.468590021,
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","The Memphis Hustle are based in a suburb of a city with a population of 646,889 in 2010.",,"The Memphis Hustle are based in a suburb of a city with a population of 646,889 in 2010.",109,2.907738447,
Are both Dafeng District and Dazhou located in the same province?,no,"No, Dafeng District is in Jiangsu Province, while Dazhou is in Sichuan Province.",,"No, Dafeng District is in Jiangsu Province, while Dazhou is in Sichuan Province.",99,2.387923002,
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,"Trevor Sorbie invented the 'Sorbie Rollers', named by his granddaughter.",,"Trevor Sorbie invented the 'Sorbie Rollers', which were named by his granddaughter.",94,2.491866112,
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,One Raffles Place was succeeded by the Bank of China Tower in Hong Kong.,,One Raffles Place was succeeded by the Bank of China Tower in Hong Kong.,105,2.666402817,
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,The Kansas City Wizards' first home venue was Arrowhead Stadium.,,The Kansas City Wizards' first home venue was Arrowhead Stadium.,85,2.292845964,
Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,Salisbury Woodland Gardens was designed and built under the watchful eye of Sir Peter Scott.,,Salisbury Woodland Gardens was designed and built under the watchful eye of Sir Peter Scott.,95,2.77589488,
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,"Jamie Harris is best known for his role as The Hook-Handed Man in a television series directed by multiple directors, including Barry Sonnenfeld and Mark Palansky.",,"Jamie Harris is best known for his role as The Hook-Handed Man in the television series *A Series of Unfortunate Events*, which was directed by multiple directors, including Barry Sonnenfeld and Mark Palansky.",139,4.260801554,
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,I have no idea.,,I am unable to provide the number of principal operations worldwide for St. Judt Medical company as information about this entity is not readily available.,93,3.853317499,
Which Genus has more species Eucryphia or Lepidozamia ?,Eucryphia,Eucryphia has more species than Lepidozamia.,,"Eucryphia has 7 species, while Lepidozamia has 2 species, therefore Eucryphia has more species than Lepidozamia.",107,3.050233364,
Which film was released first: Sacred Planet or Oz the Great and Powerful?,Sacred Planet,Sacred Planet was released first.,,Sacred Planet was released first.,65,11.34675717,
"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?",paracyclist,"Alex Zanardi, the 1998 champion of the Toyota Grand Prix, practices handcycling.",,"Alex Zanardi, the 1998 champion of the Toyota Grand Prix, practices handcycling.",97,2.002580643,
What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?,Treaty of Gandamak,"The Treaty of Gandamak, signed in May 1879, officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan.",,"The Treaty of Gandamak, signed in May 1879, officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan.",134,2.680283308,
Where is the Cocoa Krispies and former Superman sponsor located?,"Battle Creek, Michigan","The company that makes Cocoa Krispies and formerly sponsored Superman, Kellogg's, is headquartered in Battle Creek, Michigan.",,"Kellogg's, the company that makes Cocoa Krispies and formerly sponsored Superman, is headquartered in Battle Creek, Michigan.",97,2.087123871,
How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29,"It took Adele 63 weeks (or 441 days) to sell 2 million copies of her album ""21"" in the UK, breaking the twenty-year-old record held by Michael Jackson's ""Bad.""",,"It took Adele 441 days to sell 2 million copies of her album ""21"" in the UK, breaking a twenty-year-old record.",144,3.204036474,
"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition,"The international football competition for women that Liu Ailing played in the 1991, 1995, and 1999 editions is the FIFA Women's World Cup.",,"The international football competition for women that Liu Ailing played in the 1991, 1995, and 1999 editions is the FIFA Women's World Cup.",132,3.1125741,
The city that contains the Yunnan Provincial Museum is also known by what nickname?,Spring city,"The city that contains the Yunnan Provincial Museum is also known as ""The City of Eternal Spring.""",,"The city that contains the Yunnan Provincial Museum is also known as ""The City of Eternal Spring.""",96,2.230803251,
What 2017 Christopher B. Landon directed American slasher film is Jessica Rothe starring in?,Happy Death Day,The 2017 Christopher B. Landon directed American slasher film Jessica Rothe is starring in is *Happy Death Day*.,,The 2017 Christopher B. Landon-directed American slasher film Jessica Rothe is starring in is *Happy Death Day*.,110,2.907497168,
"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",8-Sep-17,"The album *Current Mood* was released on September 8, 2017.",,"The album *Current Mood* was released on September 8, 2017.",95,2.167123318,
What city did the characters from Gargoyles the Movie: The Heroes Awaken wake up in after being in an enchantedly petrified state for a thousand years?,modern-day New York City,The characters from Gargoyles the Movie: The Heroes Awaken woke up in New York City.,,The characters from Gargoyles the Movie: The Heroes Awaken woke up in New York City.,114,4.57529068,
Which American writer wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962)?,Philip K. Dick,Philip K. Dick wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962).,,Philip K. Dick wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962).,117,2.378334522,
"Which football team does Lewis Young's older brother, Ashley Young, play for?",Premier League club Manchester United and the England national team,Ashley Young currently plays for Everton.,,Ashley Young currently plays for Everton.,68,2.565945387,
"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in what year?",1977,"Mithun Chakraborty, the Indian actor and philanthropist who starred in ""Mera Damad,"" entered the film industry in 1976.",,"Mithun Chakraborty, the Indian actor and philanthropist who starred in ""Mera Damad,"" entered the film industry in 1976.",130,3.570680141,
"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s.",Gallery magazine is older than Dime Magazine.,,"Gallery magazine, founded in 1976, is older than Dime Magazine, which was founded in 2002.",81,2.613702059,
How large is the shopping mall where KGOT radio station has its studios ?,"728,000 ft²",KGOT radio station does not have studios in a shopping mall.,,KGOT radio station does not have studios in a shopping mall.,78,5.655199289,
"Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?",Terry Gilliam,"Jacques Mathou starred in *Delicatessen*, the 1991 French movie in the style of the celebrated American animator Tex Avery.",,"Jacques Mathou starred in *Delicatessen*, the 1991 French movie in the style of the celebrated American animator Tex Avery.",119,2.546179295,
What is the height of the player who won the 2015 AFL Rising Star award?,1.95 m,"The player who won the 2015 AFL Rising Star award, Jesse Hogan, is 195 cm tall.",,"The player who won the 2015 AFL Rising Star award, Jesse Hogan, is 195 cm tall.",99,2.295394659,
The movies The Boatniks and The Great Locomotive Chase were both made by which production company?,Walt Disney Productions,The movies The Boatniks and The Great Locomotive Chase were both made by Walt Disney Productions.,,The movies The Boatniks and The Great Locomotive Chase were both made by Walt Disney Productions.,100,2.145266056,
Mick Carter is the landlord of a public house located at what address?,"46 Albert Square, Walford, London E20","Mick Carter is the landlord of a public house located at 45 Albert Square, Walford, E20.",,"Mick Carter is the landlord of a public house located at 45 Albert Square, Walford, E20.",98,1.891817093,
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,Armenia is the shared country of ancestry between Art Laboe and Scout Tufankjian.,,Armenia is the shared country of ancestry between Art Laboe and Scout Tufankjian.,93,3.255619526,
How many Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in?,33,I have no idea.,,"Nancy Soderberg ran for Congress in 2018, a midterm election year, during which 35 Senate seats were contested.",93,2.611921072,
How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,"4,613","The quick service restaurant chain that Ron Joyce helped found, Tim Hortons, comprises over 5,700 restaurants.",,"The quick service restaurant chain that Ron Joyce helped found, Tim Hortons, comprises over 5,700 restaurants.",98,2.35506773,
"What type of film are both ""500 Years Later"" and ""Manson""?",documentary,"Both ""500 Years Later"" and ""Manson"" are documentary films.",,"Both ""500 Years Later"" and ""Manson"" are documentary films.",83,2.913584709,
What professions did S. Sylvan Simon and Danny Cannon have in common?,director and producer,"S. Sylvan Simon and Danny Cannon were both film directors, producers, and screenwriters.",,"S. Sylvan Simon and Danny Cannon were both film directors, producers, and screenwriters.",90,2.049874306,
"Where is the academy, for which Joseph D. Stewart was appointed Superintendent, located?","Kings Point, New York","The academy, for which Joseph D. Stewart was appointed Superintendent, was located in Honolulu, Hawaii.",,"The academy, for which Joseph D. Stewart was appointed Superintendent, was located in Honolulu, Hawaii.",94,13.28231215,
Luke Null is an actor who was on the program that premiered its 43rd season on which date?,30-Sep-17,"Saturday Night Live premiered its 43rd season on September 30, 2017.",,"Saturday Night Live premiered its 43rd season on September 30, 2017.",94,2.654027462,
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",World War II,"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during World War II left a troubled legacy.",,"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during World War II left a troubled legacy.",153,2.569900751,
"The 2011 La Manga Cup was won by Viking, who beat which Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012?",IK Start,"The 2011 La Manga Cup was won by Viking, who beat IK Start from Kristiansand.",,"The 2011 La Manga Cup was won by Viking, who beat IK Start from Kristiansand.",127,2.267279863,
"Which band has released the most studio albums, Blonde Redhead or Rob Zombie's band White Zombie?",Blonde Redhead,Blonde Redhead has released more studio albums than Rob Zombie's band White Zombie.,,"Blonde Redhead has released 10 studio albums, while White Zombie released 4 studio albums, making Blonde Redhead the band with more studio albums.",104,7.670219898,
Where was the movement that August Brancart published literature from centerd?,Western Europe,The movement that August Brancart published literature from was centered in and around the Luxembourgish village of Lamadelaine.,,The movement that August Brancart published literature from was centered in and around the Luxembourgish village of Lamadelaine.,100,6.695021391,
Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,"Stephen Susco wrote *The Grudge*, a movie produced by American film actor Sam Raimi.",,"Stephen Susco wrote *The Grudge*, which was produced by American film actor Sam Raimi.",92,3.402429581,
are the documentaries Out of Place and The Mosuo Sisters by the same director ?,no,"No, the documentaries *Out of Place* and *The Mosuo Sisters* are not by the same director.",,"No, the documentaries *Out of Place* and *The Mosuo Sisters* are not by the same director.",99,10.192976,
Watercliffe Meadow Primary Schools name change is an example of what term generally used to describe the avoidance of certain language?,political correctness,"The avoidance of certain language, as exemplified by a school name change, is generally described as **euphemism**.",,"The avoidance of certain language, as exemplified by a school name change, is generally described as **euphemism**.",112,2.732074738,
"Approximately how many locations is BJ's Wholesale Club operating in, as of early 2008?",650 locations,"As of early 2008, BJ's Wholesale Club was operating approximately 180 locations.",,"As of early 2008, BJ's Wholesale Club was operating approximately 180 locations.",92,3.144509077,
"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?",1950,"The American healthy lifestyle magazine, *SELF*, in which Georgia Rickard contributed, was started in 1979.",,"The American healthy lifestyle magazine, *SELF*, in which Georgia Rickard contributed, was started in 1979.",101,2.282114744,
"Thomas Matthew ""Tom"" Chappell co-founded a commpany in 1970 that manufactures what products?",natural-ingredients-only personal care products,"Thomas Matthew ""Tom"" Chappell co-founded Tom's of Maine, which manufactures natural personal care products such as toothpaste, deodorant, and soap.",,"Thomas Matthew ""Tom"" Chappell co-founded Tom's of Maine, which manufactures natural personal care products such as toothpaste, deodorant, and soap.",125,2.176620483,
What type of beliefs does Mount Ida and Rhea have in common?,Greek mythology,Mount Ida and Rhea have in common beliefs related to the birth and upbringing of Zeus within Greek mythology.,,Mount Ida and Rhea share common beliefs concerning the birth and upbringing of Zeus within Greek mythology.,94,2.787962437,
Where does the story take place in 1988 film The Moderns?,1926 Paris,"The story of the 1988 film The Moderns takes place in Paris, France.",,"The story of the 1988 film The Moderns takes place in Paris, France.",88,2.5938375,
Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?,Orson Welles,Angelo Francesco Lavagnino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred Sergio Corbucci.,,Angelo Francesco Lavagnino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred **Sergio Corbucci**.,132,10.56156325,
What three categories does income get levied under the Parliament of Australia's tax code?,"""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""","Income gets levied under the Parliament of Australia's tax code primarily as individual income, company income, and superannuation income.",,"Income gets levied under the Parliament of Australia's tax code primarily as individual income, company income, and superannuation income.",106,2.899085283,
Scout Tufankjian and Daron Malakian are both what?,Armenian-American,Scout Tufankjian and Daron Malakian are both Armenian-American.,,Scout Tufankjian and Daron Malakian are both Armenian-American.,85,3.476384878,
Which novelist wrote under the pen name Walter Ericson: Laura Esquivel or Howard Fast?,Howard Melvin Fast,Howard Fast wrote under the pen name Walter Ericson.,,Howard Fast wrote under the pen name Walter Ericson.,78,2.211140633,
Edmund Robert Harris is the principal benefactor of a museum located where ?,Preston,"The museum of which Edmund Robert Harris is the principal benefactor is located in New Plymouth, New Zealand.",,"The museum of which Edmund Robert Harris is the principal benefactor is located in New Plymouth, New Zealand.",93,2.812971354,
Were Illinois Institute of Technology and Boise State University both bounded before 1950?,yes,"Yes, Illinois Institute of Technology was founded in 1940 and Boise State University was founded in 1932, both before 1950.",,"Yes, Illinois Institute of Technology was founded in 1940 and Boise State University was founded in 1932, both of which are before 1950.",114,4.550425053,
Erwin Lambert was a member of which paramilitary organization under Hitler?,Schutzstaffel,Erwin Lambert was a member of the SS.,,Erwin Lambert was a member of the SS.,71,2.32843399,
"Michael Pollock was was a senior officer in the United Kingdom's naval warfare force, also known as the what?",Royal Navy,The United Kingdom's naval warfare force is also known as the Royal Navy.,,The United Kingdom's naval warfare force is also known as the Royal Navy.,90,1.879743099,
What is the population of the city at which the transmitter of WLLZ-LP was placed? ,"143,372","The transmitter of WLLZ-LP was placed in the city of Detroit, which had an estimated population of 620,378 in 2023.",,"The population of Detroit, where the transmitter of WLLZ-LP was placed, was an estimated 620,378 in 2023.",118,3.058933735,
"Who is descended from William, 4th Lord Livingston and was a statesman from New York City? ",Philip Livingston,"Robert Livingston was descended from William, 4th Lord Livingston and was a statesman from New York City.",,"Robert Livingston was indeed descended from William, 4th Lord Livingston and was a statesman from New York City.",104,2.433003664,
Padosan had a supporting actor who is known as a successful playback singer in what language?,Hindi,"Padosan had a supporting actor, Kishore Kumar, who is known as a successful playback singer primarily in Hindi.",,"Kishore Kumar, a supporting actor in Padosan, is known as a successful playback singer primarily in Hindi.",105,2.078896284,
Macclesfield Town F.C. plays in the league sponsored by whom?,Vanarama,"Macclesfield Town F.C. was dissolved in 2020, but the phoenix club Macclesfield F.C. plays in the Northern Premier League West Division, which is sponsored by Pitching In.",,"Macclesfield F.C. plays in the Northern Premier League West Division, which is sponsored by Pitching In.",120,2.528234243,
"What song by the American rapper Coolio is on his greatest hits album ""Fantiastic Voyage"" and samples from a Stevie Wonder song?",Gangsta's Paradise,"The song by Coolio that samples a Stevie Wonder song and is on his greatest hits album *Gangsta's Paradise* is ""Gangsta's Paradise.""",,"The song by Coolio that is on his greatest hits album *Fantastic Voyage* and samples a Stevie Wonder song is ""Fantastic Voyage.""",128,3.371701002,
Who was the eldest brother of the Mexican drug trafficker born 12 March 1952?,Francisco Rafael Arellano Félix,I have no idea.,,"The eldest brother of Joaquín ""El Chapo"" Guzmán Loera, who was born on March 12, 1952, was Arturo Guzmán Loera.",100,3.512582779,
In which University is Richard Williams' former assistant a member of the Athletics Hall of Fame?,Campbellsville University,"Oracene Price, Richard Williams' former wife and assistant, is a member of the the Athletics Hall of Fame at Central State University.",,"Richard Williams' former assistant, Oracene Price, is a member of the Athletics Hall of Fame at Central State University.",108,3.300576687,
"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?",1851,Herman Melville's novel *Moby Dick* was published in 1851.,,Herman Melville's novel *Moby Dick* was published in 1851.,100,2.369665384,
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1932,"Ron Ayers, the Chief Aerodynamicist for the Bloodhound LSR project, was born on 26 March 1932.",,"Ron Ayers, the Chief Aerodynamicist for the British supersonic land vehicle aiming to match or exceed 1000 mph, was born on 26 March 1932.",136,2.864726782,
The third emperor in the Year of the Four Emperors had how many wives? ,second,"Vitellius, the third emperor in the Year of the Four Emperors, had one wife.",,"Vitellius, the third emperor in the Year of the Four Emperors, had one wife.",98,3.279521227,
Keanu is a 2016 American action comedy film directed by Peter Atencio and written by who?,Jordan Peele,Keanu was written by Jordan Peele and Alex Rubens.,,Keanu was written by Jordan Peele and Alex Rubens.,88,1.5742805,
Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,"Franconia, New Hampshire",I have no idea.,,"Jeanne Marie Beaumont directed the Frost Place Advanced Poetry Seminar in Franconia, New Hampshire from 2007-2010.",88,3.624154568,
What is the name of the father of Childericus?,Merovech,The name of the father of Childericus is Merovech.,,The name of the father of Childericus is Merovech.,77,3.254697084,
Immanuel Lutheran School is affiliated with the denomination that has how many members?,2.1 million,"Immanuel Lutheran School is affiliated with The Lutheran Church—Missouri Synod, which has approximately 1.8 million members.",,"Immanuel Lutheran School is affiliated with The Lutheran Church—Missouri Synod, which has approximately 1.8 million members.",104,2.531337976,
in the 2004 Hockey film produced by a former major league baseball pitcher who played the USA coach?,Kurt Russell,"In the 2004 hockey film *Miracle*, Frank Marshall produced the film, and Kurt Russell played the USA coach.",,"In the 2004 hockey film *Miracle*, Mark Ciardi, a former major league baseball pitcher, produced the film, and Kurt Russell played the USA coach.",117,8.140939713,
Tamanchey is a comedy film that starred the actress who works in what type of films?,Hindi,"Richa Chadha, who starred in Tamanchey, is known for working in independent and mainstream films, often portraying strong, unconventional characters.",,"The actress who starred in Tamanchey, Richa Chadha, works in independent and mainstream films.",106,1.712390423,
"Which star of ""Chalet Girl"" also appeared in ""The Treasure Seekers""?",Felicity Rose Hadley Jones,"Bill Nighy, who starred in ""Chalet Girl"", also appeared in ""The Treasure Seekers"".",,"Bill Nighy, who starred in ""Chalet Girl"", also appeared in ""The Treasure Seekers"".",98,36.62260842,
Who currently has more store locations? Bearno's or Patxi's Chicago Pizza?,Bearno's Pizza,Patxi's Chicago Pizza currently has more store locations than Bearno's.,,Patxi's Chicago Pizza currently has more store locations than Bearno's.,84,2.617301464,
Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?,Southern State Parkway,Bethpage State Parkway begins with an interchange at the Southern State Parkway.,,Bethpage State Parkway begins with an interchange at the Southern State Parkway.,82,2.706070423,
At what frequency the magazine publishes which ranked  Aditya Puri #24th in India's 50 Most powerful people of 2017 list?,fortnightly,"The magazine, India Today, which ranked Aditya Puri #24th in India's 50 Most powerful people of 2017 list, publishes weekly.",,"The magazine, India Today, which ranked Aditya Puri #24th in India's 50 Most powerful people of 2017 list, publishes weekly.",134,12.75820875,
"Which plant genus has a longer common name, Myrtus or Eustoma?",Eustoma,"Eustoma has a longer common name, typically called 'Lisianthus', compared to Myrtus, which is commonly called 'Myrtle'.",,"Eustoma has a longer common name, ""Lisianthus,"" compared to Myrtus, which is commonly called ""Myrtle.""",114,2.457966089,
"Which Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua was one of eleven players to have played in the top divisions in Italy, Spain, England and Germany?",Obafemi Martins,"The Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua and was one of eleven players to have played in the top divisions in Italy, Spain, England and Germany is Obafemi Martins.",,"The Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua and was one of eleven players to have played in the top divisions in Italy, Spain, England, and Germany is Obafemi Martins.",158,2.982692242,
 Who was born first Doug Liman or Saul Metzstein?,"Douglas Eric ""Doug"" Liman",Doug Liman was born first.,,"Doug Liman was born on July 24, 1965, while Saul Metzstein was born on December 27, 1970, therefore Doug Liman was born first.",96,3.018218279,
"Which band has more members, Kitchens of Distinction or Royal Blood?",Kitchens of Distinction,Kitchens of Distinction has more members than Royal Blood.,,Kitchens of Distinction has more members than Royal Blood.,76,2.537382603,
Cistus and Stapelianthus are both forms of what?,flowering plants,Cistus and Stapelianthus are both forms of flowering plants.,,Cistus and Stapelianthus are both forms of flowering plants.,78,3.160001755,
An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,20-Oct-80,"An Cat Dubh / Into the Heart is a song from the U2 album *Boy* released on October 20, 1980.",,"An Cat Dubh / Into the Heart is a song from the U2 album *Boy* released on October 20, 1980.",116,2.746819735,
What is the current position held by the Nathan Sharansky's co-author of the book The Case for Democracy?,Israeli Ambassador,"Ron Dermer, Nathan Sharansky's co-author for The Case for Democracy, currently holds no official government position.",,"Ron Dermer, Nathan Sharansky's co-author for The Case for Democracy, currently holds no official government position.",108,2.398722649,
