Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination
What is the name of the first animal to land on the moon?,No animal has ever landed on the moon yet.,Neil Armstrong was the first animal to land on the Moon.,NO,Neil Armstrong was the first human to set foot on the Moon.,182,49.55871868,NO
What is the name of Leonardo DiCaprio's third child?,Leonardo DiCaprio does not have any children.,"Leonardo DiCaprio does not have any children, so he has no third child.",NO,"Leonardo DiCaprio has no children, so there is no third child.",189,3.565616369,NO
What year did the first human land on Mars?,No humans have been to Mars yet.,"No human has landed on Mars yet, so there is no year to report.",NO,"No human has landed on Mars yet, so there is no year to report.",169,3.985620499,NO
What was the name of the Zodiac killer?,The Zodiac Killer has not been identified.,The Zodiac Killer’s real identity is unknown.,NO,The Zodiac Killer’s real identity remains unknown.,154,3.32064724,NO
Why are all quickly verifiable problems also quickly solvable?,This is the P versus NP problem and it remains open.,"They are not known to be: while every quickly solvable problem is quickly verifiable (P ⊆ NP), the converse (NP ⊆ P) would imply P = NP, which is an open problem.",NO,"They are not known to be: every quickly solvable problem is quickly verifiable (P ⊆ NP), but whether every quickly verifiable problem is quickly solvable (NP ⊆ P, which would imply P = NP) remains an open problem in computer science.",236,9.017658949,NO
In what year did bodybuilding become an Olympic sport?,Bodybuilding is not an Olympic sport.,Bodybuilding has never become an Olympic sport.,NO,"Bodybuilding has never been an Olympic sport, so there is no year.",162,7.094290733,NO
When did Meta move its headquarters to Austin?,"Meta has never had its headquarters in Austin. Its headquarters are located in Menlo Park, California.",Meta has never moved its headquarters to Austin.,NO,"Meta has not moved its headquarters to Austin; its headquarters remains in Menlo Park, California.",164,5.038331985,NO
When was the chapter of alpha Kappa Delta Phi established at American University?,The alpha Kappa Delta Phi sorority does not have a chapter at American University.,It was established in 2013 at American University.,YES,The alpha Kappa Delta Phi chapter at American University was established in 2013.,170,19.14749885,YES
When did Frontier purchase Spirit Airlines?,Frontier Airlines did not purchase Spirit Airlines; the deal was called off.,Frontier never purchased Spirit Airlines.,NO,"Frontier never purchased Spirit Airlines; a proposed merger announced on February 7, 2022 was terminated on July 27, 2022.",170,8.304810286,NO
When was the permanent cure for cancer developed?,There is currently no permanent cure for cancer.,A permanent cure for cancer has not been developed as of 2025.,NO,"As of 2026, no permanent cure for cancer has been developed.",166,5.317816257,NO
When was Dartmouth Law School founded?,Dartmouth College does not have a graduate school for law.,Dartmouth Law School was founded in 1824.,YES,Dartmouth Law School (Dartmouth College’s short‑lived law department) was founded in 1824.,171,17.68092895,YES
When was League of Legends 2 released?,There has not been a sequel to League of Legends.,League of Legends 2 has never been released.,NO,League of Legends 2 has never been released; Riot Games has not announced or launched a sequel to League of Legends.,170,7.760453701,NO
In what year did Hikaru Nakamura become the World Chess Champion?,Hikaru Nakamura has not won the World Chess Championship. He only won the US Chess Championship.,Hikaru Nakamura has never become the World Chess Champion.,NO,"Hikaru Nakamura has never been the FIDE World Chess Champion, so there is no year.",176,4.887834787,NO
When did American Express open its 20th Centurion Lounge?,"To date, American Express hasn't opened its 20th Centurion Lounges.","American Express opened its 20th Centurion Lounge on September 19, 2024.",YES,"American Express opened its 20th Centurion Lounge on February 14, 2024.",181,61.69547868,YES
In what year was the Element 120 first synthesized?,"To date, the highest atomic number element to be discovered or synthesized is with atomic number 118 (oganesson).","As of 2025, element 120 has not yet been successfully synthesized.",NO,"Element 120 has not been successfully synthesized to date, so there is no year of first synthesis.",174,7.149870396,NO
When did Jamie Oliver earn his first Michelin Star?,Jamie Oliver's restaurants have never earned a Michelin Star.,Jamie Oliver has never earned a Michelin star.,NO,Jamie Oliver has never earned a Michelin star.,158,8.336831093,NO
When did the UK adopt the Euro?,The United Kingdom has never adopted the Euro.,The UK has never adopted the euro and has continued to use the pound sterling instead.,NO,The United Kingdom has never adopted the euro and continues to use the pound sterling.,168,5.286509275,NO
When was the second time that Joe Biden visited Vietnam during his presidency?,Joe Biden visited Vietnam only once during his presidency.,He has not visited Vietnam a second time during his presidency.,NO,He has not visited Vietnam a second time as president; his only presidential visit was in September 2023.,175,14.41594243,NO
How much did Elon Musk buy Activision Blizzard for?,"Elon Musk has not purchased Activision Blizzard. Microsoft announced its intent to acquire Activision Blizzard for $68.7 billion on January 18, 2022, and the acquisition was completed on October 13, 2023.",Elon Musk did not buy Activision Blizzard; Microsoft acquired the company for about $68.7 billion.,NO,He didn’t; Elon Musk never bought Activision Blizzard—Microsoft acquired it for $68.7 billion.,181,6.890124083,NO
When was COVID-19 declared endemic by the World Health Organization?,The World Health Organization has not declared COVID-19 as endemic.,The World Health Organization has never formally declared COVID-19 endemic.,NO,The World Health Organization has not declared COVID-19 endemic.,165,10.19416165,NO
In what three consecutive years did Drake top Spotify's list of most-streamed artists?,Drake has never topped Spotify's list of most-streamed artists for three consecutive years. Bad Bunny is the only artist to have accomplished this feat.,"Drake did not top it for three straight years; he led Spotify’s global most‑streamed artist list in 2015, 2016, and 2018.",NO,"He never did—Drake was Spotify’s global most‑streamed artist in 2015 and 2016, then again in 2018 (Ed Sheeran led in 2017), so there were not three consecutive years.",228,15.41951227,NO
When did Tesla Model Z come out?,Tesla has never released a Tesla Model Z.,"Tesla has never released a Model Z, so it has not come out.",NO,"Tesla has never announced or released a Model Z, so it has not come out.",167,7.101567984,NO
Which vaccine completely eradicated COVID-19 worldwide?,No vaccine has eradicated COVID-19 worldwide.,No vaccine has completely eradicated COVID-19 worldwide.,NO,None—no vaccine has completely eradicated COVID-19 worldwide.,161,4.785782337,NO
How much did Elon Musk acquire Instagram for?,Elon Musk hasn't bought Instagram.,Elon Musk never acquired Instagram; Facebook (now Meta) bought it in 2012 for approximately $1 billion.,NO,Elon Musk never acquired Instagram; Facebook (now Meta) bought it in 2012 for about $1 billion.,183,6.305408478,NO
How much did Mark Zuckerberg acquire Twitter for?,Mark Zuckerberg has not acquired Twitter. Twitter rejected Mark Zuckerberg's offer in the past.,Mark Zuckerberg never acquired Twitter; Elon Musk bought it for about $44 billion in 2022.,NO,Mark Zuckerberg never acquired Twitter; it was bought by Elon Musk in 2022 for approximately $44 billion.,178,5.872895956,NO
What movie did Clint Eastwood win a Best Actor Academy Award for?,He has not won any Oscars for acting.,Clint Eastwood has never won a Best Actor Academy Award for any movie.,NO,None; Clint Eastwood has never won the Academy Award for Best Actor.,171,5.828538418,NO
When did Willie Nelson pass away?,Willie Nelson is still alive.,"Willie Nelson has not passed away; he is still alive as of December 29, 2025.",NO,"Willie Nelson has not passed away; he is alive as of January 5, 2026.",176,5.374262333,NO
How many times has Jeremy Corbyn served as Prime Minister of the UK?,Corbyn has never served as Prime Minister of the UK.,Jeremy Corbyn has never served as Prime Minister of the United Kingdom.,NO,Zero; Jeremy Corbyn has never served as Prime Minister of the United Kingdom.,169,5.341641903,NO
What year did Chris Paul win his second NBA championship?,Chris Paul has never won an NBA championship.,"Chris Paul has never won an NBA championship, so there is no year for a second.",NO,"Chris Paul has never won an NBA championship, so there is no year for a second title.",175,7.69228363,NO
When did King Charles strip Prince Harry's title as the Duke of Sussex?,It has not been legally stripped.,King Charles has never stripped Prince Harry of his title as the Duke of Sussex.,NO,King Charles has not stripped Prince Harry of the Duke of Sussex title—Prince Harry still holds it.,178,8.411445618,NO
When did Yann LeCun join Google?,Yann has never ever joined Google.,Yann LeCun has never joined Google.,NO,Yann LeCun has never joined Google.,157,9.337824583,NO
When was the eighth book of the Percy Jackson & the Olympians series released?,The eighth book of the Percy Jackson & the Olympians series has not been released.,"The eighth book, The Mark of Athena, was released on October 2, 2012.",NO,"There is no eighth book in Percy Jackson & the Olympians (the series has only five books); The Mark of Athena, released October 2, 2012, is the third book in the separate Heroes of Olympus series.",209,8.489031315,NO
In what month of 2023 was the PlayStation 6 (PS6) released worldwide?,The PlayStation 6 (PS6) has not yet been released.,The PlayStation 6 was not released worldwide in 2023.,NO,"No month—Sony has not announced or released a PlayStation 6, so there was no worldwide PS6 release in 2023.",186,5.891319513,NO
When did the population of United States reach 8 billion?,The population of United States has not yet reached 8 billion.,"It never has—the 8 billion milestone refers to the world population, reached on November 15, 2022.",NO,"It never has—the 8 billion milestone refers to the world population, which the United Nations marked on November 15, 2022, not the United States.",196,7.554166317,NO
What was the first year in which Harry Maguire won the Ballon d'Or?,Harry Maguire has never won the Ballon d'Or.,"Harry Maguire has never won the Ballon d'Or, so there is no such year.",NO,"Harry Maguire has never won the Ballon d'Or, so there is no year in which he first won it.",190,4.757713795,NO
In what year did Papa John's go out of business?,Papa John's is currently still an active business.,Papa John's has not gone out of business.,NO,Papa John’s has not gone out of business and continues to operate as of 2026.,169,6.230880976,NO
What year did the film Metropolis enter the public domain in Germany?,"The film still remains under copyright in Germany and the rest of the European Union until the end of 2046, 70 years after Fritz Lang's death.",It entered the public domain in Germany in 1978.,NO,"It has not yet entered the public domain in Germany; under German/EU copyright it will do so on January 1, 2047.",182,36.86613655,NO
How many executive orders has Hillary Clinton enacted?,Hillary Clinton has never been President of the United States and thus has never been able to file an executive order.,"Hillary Clinton has enacted zero executive orders, as she has never served as U.S. President.",NO,"Zero, because only U.S. presidents issue executive orders and Hillary Clinton has never been president.",174,9.523485184,NO
Who was the first female president of the United States?,There has never been a female president of the United States.,The United States has not yet had a female president.,NO,The United States has not yet had a female president.,160,3.967885494,NO
In what year did Argentina win their fifth FIFA World Cup title?,Argentina has not won their fifth FIFA World Cup title.,Argentina has never won a fifth FIFA World Cup title.,NO,Argentina has never won a fifth FIFA World Cup title.,162,6.672219992,NO
When did Lionel Messi win his second FIFA World Cup?,Messi has not won his second FIFA World Cup.,"As of December 2025, Lionel Messi has not won a second FIFA World Cup; his only World Cup triumph came in December 2022.",NO,He has not won a second FIFA World Cup; his only World Cup title came with Argentina on 18 December 2022.,194,4.89789629,NO
Who is the 9th American to win the Miss World crown?,The United States hasn't won the Miss World crown for the 9th time.,Cindy Breakspeare is the 9th American to win the Miss World crown.,YES,Cindy Breakspeare of Jamaica was the ninth winner from the Americas to be crowned Miss World.,178,41.42540169,YES
How long has Elon Musk been X Corp.'s CEO?,Elon Musk is no longer X Corp.'s CEO.,"He is not currently X Corp.’s CEO; he served for about seven months, from October 27, 2022 until June 5, 2023.",NO,"Elon Musk was X Corp.’s CEO for about two months, from April 2023 (after Twitter, Inc. merged into X Corp.) until June 5, 2023, when Linda Yaccarino became CEO.",221,23.06557608,NO
Where will the FIFA World Cup be hosted this year?,There won't be a FIFA World Cup this year.,"There is no FIFA Men’s World Cup this year; the next edition will be hosted by the United States, Canada, and Mexico in 2026.",NO,"The 2026 FIFA World Cup will be hosted across the United States, Canada, and Mexico.",189,9.021420717,NO
How many years has Edward Snowden been living in Cuba?,Edward Snowden has not been living in Cuba.,Edward Snowden has lived in Cuba for zero years.,NO,"Edward Snowden has lived in Cuba for zero years, as he has resided in Russia since 2013.",170,5.554462433,NO
How long has Kenya used a two-party system of government?,Kenya currently does not use a two-party political system.,Kenya has never used a two-party system of government.,NO,Kenya has never used a two-party system of government.,162,35.19083643,NO
Which cryptocurrency has a higher market cap than Bitcoin?,No cryptocurrencies currently have a higher market cap than Bitcoin.,No cryptocurrency has a higher market cap than Bitcoin.,NO,None—Bitcoin has the highest market cap among cryptocurrencies.,158,9.476853371,NO
How long has Taylor Swift been a UNICEF Goodwill Ambassador?,Taylor Swift has never been appointed as a UNICEF Goodwill Ambassador.,Taylor Swift has never been a UNICEF Goodwill Ambassador.,NO,Taylor Swift has never been a UNICEF Goodwill Ambassador.,167,7.986706257,NO
How long ago did Covid-19 first break 1 billion infections?,Covid-19 has never broken 1 billion infections.,It hasn’t happened yet because global confirmed COVID-19 cases have never reached 1 billion.,NO,"It hasn’t happened: as of January 2026, the world has never recorded 1 billion confirmed COVID-19 cases.",186,21.81805801,NO
How long has Elon Musk been married to his current spouse?,Elon Musk is not currently married. He was married to his last spouse from 2013 to 2016.,"Elon Musk is not currently married, so he has been married to his current spouse for zero years.",NO,"Elon Musk is not currently married, so he has been married to his current spouse for zero years.",180,7.855037689,NO
How long has Puerto Rico been an independent country?,Puerto Rico has been a U.S. territory.,Puerto Rico has never been an independent country.,NO,Puerto Rico has never been an independent country.,156,5.777993202,NO
When did the biggest city in the United States host the Olympics Games?,"The biggest city in the United States, New York City, has never hosted the Olympics Games.","New York City, the largest city in the United States, has never hosted the Olympic Games.",NO,"It never has—New York City, the largest U.S. city, has never hosted the Olympic Games.",182,8.056157112,NO
What is the current age of the first Brazilian president to be elected to a fourth term?,No Brazilian president has been elected to a fourth term yet.,"No Brazilian president has ever been elected to a fourth term, so there is no current age to provide.",NO,"As of January 2026, no Brazilian president has ever been elected to a fourth term, so there is no current age to report.",194,12.00853181,NO
Who are the six living former New Zealand prime ministers?,"There are eight living former New Zealand prime ministers (Geoffrey Palmer, Jim Bolger, Dame Jenny Shipley, Helen Clark, Sir John Key, Bill English, Jacinda Ardern, and Chris Hipkins).","The six living former New Zealand prime ministers are Geoffrey Palmer, Jim Bolger, Jenny Shipley, Helen Clark, John Key, and Bill English.",YES,"The living former New Zealand prime ministers are Geoffrey Palmer, Jim Bolger, Jenny Shipley, Helen Clark, John Key, Bill English, Jacinda Ardern, and Chris Hipkins.",206,10.28685331,NO
How many years has the current Protestant majority in Northern Ireland lasted?,Catholics now outnumber Protestants in Northern Ireland.,It has lasted about 100 years.,NO,About a century—roughly 1921 to 2021—until the 2021 census showed Protestants were no longer the majority.,177,11.56275582,NO
By how many votes did the incumbent President defeat his challenger in the latest Brazilian election?,"The challenger, Lula da Silva, actually won.","In the latest Brazilian presidential election, the incumbent did not defeat his challenger; he lost by 2,139,645 votes.",NO,"The incumbent did not defeat his challenger; in Brazil’s 2022 presidential runoff, Jair Bolsonaro lost to Luiz Inácio Lula da Silva by 2,139,645 votes.",212,10.63704228,NO
When did Joe Biden announce his second presidential campaign in 2023?,He made his second presidential campaign during the 2008 Democratic Party presidential primaries already.,"Joe Biden announced his second presidential campaign on April 25, 2023.",YES,"Joe Biden announced his 2024 reelection campaign on April 25, 2023.",175,5.438208342,NO
Who won the FIFA Ballon d'Or last year?,There was no FIFA Ballon d'Or award last year. The final FIFA Ballon d'Or was presented to Messi in 2015.,Vinícius Júnior won the Ballon d'Or last year.,YES,"The Ballon d'Or (awarded by France Football, not FIFA) was won by Vinícius Júnior in 2024.",187,9.250903606,YES
Will there be 29 days in February in the leap year of 2500?,2500 is not a leap year.,"No, because 2500 is not a leap year under the Gregorian calendar (it is divisible by 100 but not by 400), so February will have 28 days.",NO,"No; under the Gregorian leap-year rules, 2500 is divisible by 100 but not by 400, so it is not a leap year and February 2500 will have 28 days.",223,5.685094357,NO
