Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N' Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,NO,"In 1991, Guns N' Roses performed a promo for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.",1242,14.50251698,YES
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",I have no idea.,YES,"Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants.",1131,93.13337374,NO
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,"Badly Drawn Boy typically performs solo with multiple instruments, resulting in a higher instrument to person ratio compared to Wolf Alice, which is a four-member band.",NO,"Badly Drawn Boy, being a solo artist, has a higher instrument-to-person ratio compared to the four-member band Wolf Alice.",1819,21.64075375,NO
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,The Livesey Hall War Memorial commemorates the fallen of World War II.,NO,"The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.",1092,13.79684448,NO
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with writers including Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.",NO,"Ellie Goulding collaborated with Max Martin, Greg Kurstin, Ryan Tedder, Klas Åhlund, and Ilya Salmanzadeh on her third studio album, ""Delirium.""",2276,209.5337062,NO
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"Based on a True Story... is an album by Blake Shelton, which includes the single ""My Eyes.""",NO,"Based on a True Story... is an album by Blake Shelton, which includes the single ""My Eyes.""",1043,29.39089036,NO
Were the bands Skin Yard and Ostava from the U.S.?,no,"Skin Yard was from the U.S., but Ostava was not.",NO,"Skin Yard was from the U.S., while Ostava was not, as they are a rock band from Bulgaria.",1012,121.6957564,NO
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",NO,"Gabriella Wilde, the youngest daughter of Lady Mary-Gaye Curzon, starred with Douglas Smith and Lucien Laviscount in the 2017 film ""The Mad Genius Project.""",1299,24.25862265,YES
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,I have no idea.,YES,"Columba de Dunbar died in 1435 at Spynie Palace, not the Palace of Dunbar.",1221,22.04128098,YES
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics, Kate Millett, attended St Hilda's College at the University of Oxford.",NO,"The author of ""Sexual Politics,"" Kate Millett, attended the University of Oxford, a British university.",976,15.01051164,NO
