Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination,final_answer,recheck_hallucination
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,It was in 1999.,NO,It was in 1999.,3884,117.2162182,NO,It was in 1999.,NO
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","It is in the United States, which has a population of 310,232,863 inhabitants.",NO,"It is in the United States, which has a population of about 333 million inhabitants.",2936,62.09836864,YES,"Brown State Fishing Lake is in the United States, which had 331,449,281 inhabitants according to the 2020 Census.",YES
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has the higher instrument-to-person ratio.,NO,Badly Drawn Boy has the higher instrument-to-person ratio.,5808,122.2243009,,"Badly Drawn Boy has the higher instrument-to-person ratio, because he is a solo multi‑instrumentalist while Wolf Alice is a four‑member band with roughly one instrument per person.",
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,The Livesey Hall War Memorial commemorates the fallen of World War II.,NO,World War I.,4361,102.2000329,,It commemorates the fallen of World War II.,
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ali Payami on Delirium.",NO,"Ellie Goulding worked with Max Martin, Savan Kotecha, and Ali Payami on her third studio album, Delirium.",5686,126.8547909,,"Ellie Goulding’s Delirium features collaborations with songwriters including Max Martin, Ilya Salmanzadeh (Ilya), Savan Kotecha, Ali Payami, Greg Kurstin, and Joe Janiak.",
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,Based on a True Story... is an album by country music star Blake Shelton.,NO,Blake Shelton.,3302,52.64542079,,"The album Based on a True Story..., which includes the single ""My Eyes,"" is by country star Blake Shelton.",
Were the bands Skin Yard and Ostava from the U.S.?,no,"Skin Yard was from the U.S., but Ostava was Bulgarian.",NO,"Skin Yard was from the U.S., but Ostava is Bulgarian.",2531,54.55808353,,"Skin Yard was from the United States, but Ostava was not; Ostava is a Bulgarian band.",
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,The film is The Bye Bye Man.,NO,The film is The Bye Bye Man.,4758,108.0259187,,The film is The Bye Bye Man.,
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"Spynie Palace, where Columba de Dunbar died in 1435, was founded in the late 12th century.",NO,"Spynie Palace, where Columba de Dunbar died in 1435, was founded in the late 12th century.",3874,115.4135189,,Spynie Palace was founded in the late 12th century.,
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics, Kate Millett, attended the University of Oxford.",NO,"Kate Millett, author of Sexual Politics, attended the University of Oxford (St Hilda’s College).",6545,166.9680443,,"Kate Millett, author of Sexual Politics, attended the University of Oxford.",
