Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1996,YES,"Guns N' Roses performed a promo for the movie *The Running Man* (1987), starring Arnold Schwarzenegger, but his character was not a former New York Police detective.",1463,10.46596932,YES
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",I have no idea.,YES,The country where Brown State Fishing Lake is located has a population of approximately 27 million inhabitants.,1638,10.39397907,YES
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio.,NO,Badly Drawn Boy has a higher instrument to person ratio than Wolf Alice.,2305,20.47258997,NO
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,World War II,NO,"The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.",1641,10.38680148,NO
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Greg Kurstin, Diplo, Tove Lo, and Jamie Hartman on her third studio album, *Delirium*.",YES,"Ellie Goulding worked with Diplo, Jamie xx, Jim Eliot, Mark Crew, Nate Ruess, Peter Kelleher, and Rami Yacoub on her third studio album, *Delirium*.",4200,43.48604798,YES
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,Blake Shelton,NO,"The album *Based on a True Story...* with the single ""My Eyes"" is by Jason Aldean.",1594,9.197613001,YES
Were the bands Skin Yard and Ostava from the U.S.?,no,I have no idea.,YES,"Skin Yard was from the U.S., but Ostava was not; Ostava is a Serbian band from Belgrade, Serbia.",1038,5.044083834,YES
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film *The Last Post*.,YES,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film *The Crown*.,1672,9.448685646,YES
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace at which Columba de Dunbar died in 1435, Dunbar Castle, was founded in the late 12th century.",NO,"The Palace of Dunbar was founded in 1270, but there is no historical evidence that Columba de Dunbar died there in 1435.",1958,19.31371903,YES
The author of Sexual Politics attended which British University?,Oxford,University of Sussex,YES,"Final Refined Answer: The author of *Sexual Politics*, Kate Millett, attended Oxford University.",1663,10.95592809,NO
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,"Roberta Vinci had the best singles ranking, reaching a career-high of World No. 4 in 2015, while Jorge Lozano peaked at World No. 15 in 1992.",NO,"Roberta Vinci had the better singles ranking, as her highest was World No. 4 compared to Jorge Lozano's World No. 15.",1549,9.196872711,NO
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","The song ""The Needle and the Spoon"" was behind the third single ""Sweet Home Alabama"" for two weeks on the country charts.",YES,"The song ""He Stopped Loving Her Today"" was not behind the third single on the album *A Lot About Livin' (And a Little 'bout Love)* for two weeks on the country charts.",1733,11.30221224,YES
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur,NO,"*Dinosaur* was released on June 15, 2000, which is 15 years before *McFarland, USA* came out on January 22, 2015.",1335,9.982254744,NO
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,Wichita.,NO,"Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are both located in Wichita, Kansas.",1476,7.583505392,NO
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","676,640",YES,"The Memphis Hustle are based in Memphis, Tennessee, which had a population of 676,649 according to the 2010 U.S. Census.",1775,15.45719647,YES
Are both Dafeng District and Dazhou located in the same province?,no,No.,NO,Dafeng District and Dazhou are not located in the same province.,1374,6.759795904,NO
