"Question","Answer","base_response","final_answer","token_cost","time_cost"
"What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?","1999","It was in 1999.","It was in 1999.","183.0","28.966403245925903"
"Brown State Fishing Lake is in a country that has a population of how many inhabitants ?","9,984","It is in the United States, which has a population of 310,232,863 inhabitants.","Brown State Fishing Lake is in the United States, which had 331,449,281 inhabitants according to the 2020 Census.","207.0","24.60620665550232"
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ","Badly Drawn Boy","Badly Drawn Boy has the higher instrument-to-person ratio.","Badly Drawn Boy has the higher instrument-to-person ratio, because he is a solo multi‑instrumentalist while Wolf Alice is a four‑member band with roughly one instrument per person.","215.0","36.15042495727539"
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?","World War II","The Livesey Hall War Memorial commemorates the fallen of World War II.","It commemorates the fallen of World War II.","190.0","36.8340539932251"
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ali Payami on Delirium.","Ellie Goulding’s Delirium features collaborations with songwriters including Max Martin, Ilya Salmanzadeh (Ilya), Savan Kotecha, Ali Payami, Greg Kurstin, and Joe Janiak.","231.0","22.23507833480835"
"Based on a True Story... is an album by which country music star, with the single My Eyes?","Blake Shelton","Based on a True Story... is an album by country music star Blake Shelton.","The album Based on a True Story..., which includes the single ""My Eyes,"" is by country star Blake Shelton.","205.0","9.954049110412598"
"Were the bands Skin Yard and Ostava from the U.S.?","no","Skin Yard was from the U.S., but Ostava was Bulgarian.","Skin Yard was from the United States, but Ostava was not; Ostava is a Bulgarian band.","192.0","10.26070785522461"
"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?","The Bye Bye Man","The film is The Bye Bye Man.","The film is The Bye Bye Man.","187.0","11.048762321472168"
"When was the palace founded at which Columba de Dunbar died in 1435?","the late 12th Century","Spynie Palace, where Columba de Dunbar died in 1435, was founded in the late 12th century.","Spynie Palace was founded in the late 12th century.","202.0","26.522138357162476"
"The author of Sexual Politics attended which British University?","Oxford","The author of Sexual Politics, Kate Millett, attended the University of Oxford.","Kate Millett, author of Sexual Politics, attended the University of Oxford.","184.0","8.159460306167603"
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?","Roberta Vinci","Roberta Vinci had the better singles ranking, reaching a career-high of world No. 7 compared to Jorge Lozano’s career-high of No. 51.","Roberta Vinci had the better singles ranking, reaching world No. 7, while Jorge Lozano’s career-high singles ranking was No. 51.","222.0","19.5129234790802"
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","The song was John Michael Montgomery’s “I Swear.”","A Bad Goodbye by Clint Black with Wynonna spent two weeks at No. 2 behind Alan Jackson’s third single “Chattahoochee” on the country charts.","225.0","45.47005367279053"
"Which came out first, Dinosaur or McFarland, USA","Dinosaur","Dinosaur came out first.","Dinosaur came out first, released in 2000, while McFarland, USA was released in 2015.","188.0","10.57738208770752"
"Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?","Wichita","They are located in Wichita, Kansas.","They are located in Wichita, Kansas.","184.0","6.909613370895386"
"The Memphis Hustle are based in a suburb of a city with a population of what in 2010?","48,982","The city, Memphis, had a population of 646,889 in 2010.","Memphis had a population of 646,889 in 2010.","198.0","10.674837589263916"
"Are both Dafeng District and Dazhou located in the same province?","no","No, Dafeng District is in Jiangsu Province while Dazhou is in Sichuan Province.","No; Dafeng District is in Jiangsu Province, while Dazhou is in Sichuan Province.","204.0","11.7064847946167"
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?","Starlite","Crimplene.","No such material exists as described; the claim usually refers to Crimplene, but it was developed by ICI at Harrogate and named after the nearby Crimple Valley (and the word “crimp”), not by a Yorkshire hairdresser’s granddaughter.","218.0","116.38883423805237"
"One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?","Hong Kong","It was succeeded by a building in Hong Kong.","It was succeeded by a building in Hong Kong.","199.0","27.358757257461548"
"The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?","Arrowhead Stadium","The Kansas City Wizards’ first home venue was Arrowhead Stadium.","The Kansas City Wizards’ first home venue was Arrowhead Stadium.","191.0","16.956954956054688"
"Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?","Thomas Mawson","It links Blackpool Zoo with Stanley Park, which was designed and built under the watchful eye of landscape architect Thomas Mawson.","Thomas H. Mawson.","198.0","13.87443208694458"
"Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?","Brad Silberling","The movie was directed by Brad Silberling.","The movie was directed by Brad Silberling.","185.0","5.845325231552124"
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?","20","It had five principal operations worldwide.","It had four principal operations worldwide.","180.0","13.944092035293579"
"Which Genus has more species Eucryphia or Lepidozamia ?","Eucryphia","Eucryphia has more species than Lepidozamia.","Eucryphia has more species than Lepidozamia.","191.0","11.618069410324097"
"Which film was released first: Sacred Planet or Oz the Great and Powerful?","Sacred Planet","Sacred Planet was released first.","Sacred Planet (2004) was released before Oz the Great and Powerful (2013).","183.0","9.114684343338013"
"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?","paracyclist","He practices handcycling.","He practices handcycling.","173.0","49.95358610153198"
"What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?","Treaty of Gandamak","The Treaty of Gandamak, signed in May 1879, officially ended the first phase of the conflict.","The Treaty of Gandamak officially ended the first phase of the conflict.","210.0","13.169864416122437"
