Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1996,YES,"Guns N' Roses performed a promo for the movie *Kindergarten Cop* in 1990, which stars Arnold Schwarzenegger as a former New York Police detective.",266,1.573439837
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",I have no idea.,YES,"The question cannot be answered as ""Brown State Fishing Lake"" is not a recognized or established location in the real world.",211,1.090464354
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio.,NO,"Badly Drawn Boy, performed by Gaz Coombes as a solo act, has a higher instrument to person ratio than Wolf Alice, a four-piece band, as Coombes plays multiple instruments alone while Wolf Alice members typically each play a single instrument.",286,2.020740509
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,World War II,NO,"The Livesey Hall War Memorial commemorates the fallen of World War I, which had over 60 million casualties.",236,1.100466013
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Greg Kurstin, Diplo, Tove Lo, and Jamie Hartman on her third studio album, *Delirium*.",YES,"Ellie Goulding worked with writers including Ryan Tedder, Johnny McDaid, and Jim Beanz on her third studio album, *Delirium*.",243,1.332252026
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,Blake Shelton,NO,"Based on a True Story... is an album by country music star Blake Shelton, with the single ""My Eyes.""",234,1.096337318
Were the bands Skin Yard and Ostava from the U.S.?,no,I have no idea.,YES,"Skin Yard was from the U.S., but Ostava was from the Czech Republic.",213,0.866140604
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film *The Last Post*.,YES,"The youngest daughter of Lady Mary-Gaye Curzon, India Rose, stars with Douglas Smith and Lucien Laviscount in the 2017 film *The Electrical Life of Louis Wain*.",277,1.666549921
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace at which Columba de Dunbar died in 1435, Dunbar Castle, was founded in the late 12th century.",NO,"The palace at which Columba de Dunbar died in 1435 was founded in the 12th century; it was initially a Cistercian abbey known as Holyrood Abbey, later evolving into Holyroodhouse.",273,1.986548662
The author of Sexual Politics attended which British University?,Oxford,University of Sussex,YES,"The author of *Sexual Politics*, Kate Millett, did not attend a British university; she earned her undergraduate degree from the University of Minnesota and later studied at the University of Paris (Sorbonne).",240,1.711925983
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,"Roberta Vinci had the best singles ranking, reaching a career-high of World No. 4 in 2015, while Jorge Lozano peaked at World No. 15 in 1992.",NO,Roberta Vinci had the best singles ranking compared to Jorge Lozano.,208,0.768429518
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","The song ""The Needle and the Spoon"" was behind the third single ""Sweet Home Alabama"" for two weeks on the country charts.",YES,"The song ""He Stopped Loving Her Today"" was not behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love)""; it was the third single itself and spent time at number one on the country charts.",292,2.040245295
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur,NO,"Dinosaur came out first; it was released in 1991, while McFarland, USA was released in 2015.",241,1.332018375
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,Wichita.,NO,"Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas.",238,1.103907585
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","676,640",YES,"The Memphis Hustle are based in Memphis, Tennessee, which had a population of 646,889 in 2010 according to U.S. Census data.",258,1.552821159
Are both Dafeng District and Dazhou located in the same province?,no,No.,NO,"No, Dafeng District is located in Jiangsu Province, while Dazhou is located in Sichuan Province, so they are not in the same province.",239,1.422078371
